FP$^*$ KP$^*$ KP$^{-}$ KP$^{+}$ KP$^{+/-}$ CPLEX$_{feas}$
45.0563 35.5355 36.4203 25.0883 25.2271 2.2406
0.0342 0.0569 0.0269 0.0234 0.0279 0.0100
1.8207 0.9517 0.5764 1.0777 1.0268 0.4911
3600.0000 3600.0000 3600.0000 3600.0000 3600.0000 424.2685
1.4814 4.2051 3.0678 4.3789 3.0455 0.0153
0.1670 0.2156 0.1611 0.3419 0.3427 0.4982
3.5089 4.8401 32.6276 6.9747 6.9703 50.5808
0.0226 0.0434 0.0161 0.0152 0.0144 0.0050
6.2685 10.8115 2.5360 19.1636 2.7309 48.1344
0.4116 0.8119 1.6367 0.1454 1.0271 0.0411
3600.0000 3600.0000 3600.0000 3600.0000 3600.0000 420.8724
297.4032 2913.2875 89.1251 1525.6729 1399.9490 380.7290
0.0641 0.0692 0.0619 0.0422 0.0621 0.0268
0.0598 0.0727 0.0444 0.0762 0.0621 0.0120
1.8728 1.4526 1.2866 1.3095 1.1656 2.0495
0.8498 0.7988 0.8421 1.0453 1.0646 0.5537
448.9247 562.6404 569.7670 571.1518 566.9557 2160.0000
0.0879 0.2024 0.0543 0.0558 0.0568 0.0180
11.6694 11.6264 13.2789 4.2359 13.8955 21.6878
127.1986 128.6832 4.3201 4.4986 4.4845 0.3384
0.5148 0.8966 0.3368 0.3408 0.3408 0.0786
84.3799 91.1568 68.7815 126.2283 127.4775 2.4148
24.1242 23.5490 21.1328 48.1295 47.2474 1.4101
385.3059 467.7672 470.6064 316.5960 274.6395 30.0188
8.4016 10.8508 11.9181 9.0157 9.2124 5.2874
3.1045 5.9690 0.3750 5.7149 3.6985 0.0174
4.6734 5.1684 10.3698 0.8522 2.8156 0.3321
2.1520 1.8833 1.9537 0.5374 1.5330 0.2829
0.1462 0.3407 0.4822 0.2820 0.3113 0.0806
3600.0000 3600.0000 3600.0000 3600.0000 3600.0000 2160.0000
5.7204 1.9345 1.7855 1.1709 2.1080 54.0003
1.0613 0.5101 0.5284 0.5613 0.2167 2.4112
0.2613 0.9124 0.0717 0.7776 0.7882 0.0071
6.1751 40.9782 4.4982 5.6527 5.4992 11.9165
5.7331 43.8248 5.2753 4.9882 5.0052 20.8589
0.5067 1.8602 0.9901 4.6100 4.4204 0.1532
0.2205 0.2165 0.2250 0.2302 0.2313 0.0195
0.2138 0.2485 0.2554 0.2631 0.2569 0.0193
198.2313 120.2248 120.7430 118.7200 117.6071 4.7683
0.8363 0.5773 0.8721 1.5386 1.5665 0.0113
901.4312 740.8335 722.1889 425.9202 986.1571 0.1827
1.1962 1.3829 1.3700 1.3823 1.2678 0.0078
3600.0000 3600.0000 3600.0000 3600.0000 3600.0000 9.5838
3544.5084 3600.0000 3600.0000 3137.2563 3600.0000 1.8376
0.0178 0.0255 0.0177 0.0197 0.0191 0.0075
1.9877 1.9692 2.7305 1.0236 2.7698 0.1060
0.1017 0.1305 0.1036 0.0993 0.0999 0.0322
78.6175 35.5767 37.4229 38.1316 38.7612 259.3055
0.7679 1.0578 1.1649 1.2051 1.2182 0.2646
0.0084 0.0087 0.0052 0.0055 0.0048 0.0024
0.0073 0.0060 0.0039 0.0040 0.0038 0.0020
3.6367 4.8106 3.0153 1.7616 1.7140 0.6685
3600.0000 3600.0000 3600.0000 3600.0000 3600.0000 2160.0000
0.4079 1.7393 1.7160 0.1277 0.6064 0.0189
0.0910 0.0469 0.0478 0.0640 0.0335 0.0845
0.1030 0.1021 0.1868 0.0765 0.1613 0.0035
0.3249 0.0980 0.4231 0.1757 0.3714 0.0053
0.4099 1.8559 0.0861 1.4201 1.3989 0.0143
0.0231 0.2753 0.0203 0.0200 0.0387 0.0087
0.4204 0.3684 0.3449 0.4016 0.3380 0.0224
3397.3265 1923.1303 3228.3678 2266.3282 3600.0000 2160.0000
6.3583 12.0151 2.8505 1.5249 1.7256 0.3022
4.4633 14.8031 0.8996 14.3775 12.2689 0.0093
2.5134 1.3801 3.9517 1.8261 2.4944 0.6273
3303.9962 3007.6339 2935.5247 3600.0000 3600.0000 24.8043
0.6648 0.6621 1.2795 0.5354 0.6434 0.0291
3.2460 1.7480 1.2424 2.4690 2.1972 0.4871
41.7925 84.3291 25.4460 4.1122 4.2650 0.3794
243.0534 253.7516 251.2839 255.5936 246.8702 37.1746
0.3297 0.3454 0.3176 0.4274 0.4204 0.1381
0.7039 0.6931 0.6113 0.8530 0.8786 0.3072
0.2236 0.2690 0.1096 0.2310 0.1238 2.2739
0.0252 0.0228 0.0144 0.0140 0.0149 0.0068
5.7920 6.6201 2.2477 2.2954 2.3170 0.3766
6.6157 7.6356 2.2437 2.3170 2.3144 0.3815
0.0070 0.0064 0.0047 0.0050 0.0045 0.0011
0.0042 0.0036 0.0033 0.0033 0.0031 0.0011
0.0118 0.0107 0.0095 0.0102 0.0095 0.0015
0.0121 0.0099 0.0104 0.0101 0.0101 0.0013
0.1783 0.1389 0.1687 0.0709 0.1176 0.0190
0.3086 0.5631 0.0309 0.2602 0.2600 0.0182
0.0334 0.0524 0.0351 0.0382 0.0376 0.0038
0.4374 0.8008 1.7660 0.3797 0.7878 10.9572
37.6368 14.5891 5.6232 59.5415 153.8996 0.1849
8.0833 1.4424 1.1768 0.5101 7.2871 0.0518
11.2884 10.6704 0.6435 33.0676 21.8101 0.0233
4.1189 4.1381 0.7408 3.4922 3.5502 0.0247
0.8894 1.3015 0.8374 0.9734 0.9601 0.0681
1.2118 1.2019 0.9560 1.1113 1.1690 0.2656
0.0850 0.1291 0.0603 0.0585 0.0584 0.0160
1.5990 1.6933 12.7065 32.7676 32.8620 1.9094
0.5938 1.2111 0.4779 0.4000 0.4010 0.0274
0.2396 0.5200 0.1911 0.1458 0.1435 0.0149
16.1166 63.1182 24.4081 17.4538 23.2711 1494.1924
2.1261 2.8255 0.1143 2.8701 2.8774 0.0133
20.6254 3.7914 21.0003 29.5981 15.4265 2.0244
2.3235 2.8473 1.9879 3.6846 2.2282 0.9413
0.5520 0.0796 0.8929 0.8859 0.0636 0.4314
820.9295 880.4780 2835.8473 867.8881 1458.0326 223.4693
0.1981 0.5083 0.4563 0.4571 0.4589 0.1739
3.9374 2.9501 1.1248 2.0522 2.0660 0.1134
140.3983 131.4552 127.3768 138.9350 138.9391 378.3279
24.8617 24.7179 9.7094 9.8996 9.9148 2.9557
0.0108 0.0102 0.0093 0.0087 0.0089 0.0299
0.0899 0.1082 0.0836 0.0878 0.0885 0.0515
3600.0000 3600.0000 3600.0000 3600.0000 3600.0000 47.9049
8.9645 7.5067 7.5122 8.5333 8.8255 1.4117
4.8785 21.4463 4.4760 4.8840 4.4779 69.8121
411.1646 509.0083 478.1117 547.8595 259.1256 1.9643
0.0583 0.0901 0.0582 0.0332 0.0347 0.0113
1565.0779 1537.3947 1553.0140 1606.8063 1754.8965 67.4427
0.0176 0.0289 0.0106 0.0139 0.0146 0.0052
3600.0000 3600.0000 3600.0000 489.9788 3600.0000 48.5253
0.4919 0.5201 0.0884 0.1291 0.1267 0.0123
66.4704 33.6510 33.2046 41.4997 25.9112 1.1828
11.8816 30.8841 3.2164 6.6140 6.0900 2.6150
2898.6221 3600.0000 1916.4289 2350.2451 2443.1191 2160.0000
9.9262 12.2172 10.8322 7.8818 10.4297 26.3659
9.4452 14.8928 6.9292 9.3275 10.7687 3.3892
0.0978 0.1230 0.1725 0.1204 0.1306 0.0482
8.6749 18.2979 3.1653 3.1103 2.9172 1.7841
0.0293 0.0380 0.0268 0.0220 0.0217 0.0135
3600.0000 53.5554 3600.0000 3600.0000 3600.0000 31.2049
94.5269 235.4038 236.6711 489.6873 489.6804 165.0985
3.2249 6.5302 4.0144 4.5010 4.0775 9.1599
3600.0000 3600.0000 3600.0000 3600.0000 3600.0000 2160.0000
18.1715 4.0544 33.2362 10.5563 12.2325 1.2726
2258.3276 3153.5413 2947.9142 3600.0000 3600.0000 155.2453
2.2902 5.5931 3.8318 4.5984 4.9467 1.7533
6.6072 109.4549 80.2789 27.7758 13.7787 59.6851
9.6295 30.3847 44.0744 5.2358 13.5300 1.9456
1.8413 2.5667 0.7724 1.7704 0.9454 0.2456
0.7428 0.6812 0.7412 0.7548 0.7502 0.1658
0.9071 1.9733 1.4239 1.2244 1.4123 0.5776
3.7409 6.3372 7.7528 7.7507 7.7077 1.7360
0.9021 0.6788 0.9708 1.0323 1.0561 0.3989
5.8338 10.1300 13.7880 3.6541 8.4045 1.5982
0.0179 0.0300 0.0199 0.0211 0.0189 0.0022
1.2023 5.5945 0.3488 0.5000 0.5006 0.0533
15.6255 18.1949 13.2418 97.9303 8.0929 0.2950
1.7389 2.3143 1.3593 1.7470 1.7660 0.1210
2.9343 3.1180 2.8926 2.2517 2.2495 0.0564
0.0426 0.0729 0.0380 0.0245 0.0305 0.0135
0.0093 0.0147 0.0097 0.0076 0.0086 0.0013
0.4374 0.4250 0.4334 0.4390 0.4383 0.0657
2.6252 3.8293 1.2873 19.6884 10.8146 52.2363
45.0404 55.0198 434.3061 248.2811 212.8655 37.7931
0.2981 0.3636 0.3863 0.3857 0.4714 0.0936
24.7852 152.5938 143.6584 319.8221 296.7471 122.1309
391.2580 421.3526 796.1190 143.9066 335.4257 11.4201
314.3126 2103.7714 155.0703 426.7743 421.0684 1.4210
254.5512 177.2190 74.3194 56.5645 56.2440 12.7583
14.8589 33.5552 15.0005 10.9183 11.5468 3.4130
3300.2339 3113.7749 3114.2580 3109.4596 3152.3759 2160.0000
0.0978 0.1831 0.0688 0.1173 0.1121 0.0527
68.5417 10.9103 399.8974 8.4465 223.9098 154.3658
1.3507 1.8755 1.6166 4.3243 7.9461 4.0388
1.2595 1.7509 1.9587 2.5159 2.5085 0.7378
37.3444 21.5604 3.0918 46.9851 47.1874 0.1439
0.0242 0.0436 0.0427 0.0385 0.0400 0.0143
1852.1825 1482.9288 1536.3350 1112.6908 1595.2044 500.2821
0.0343 0.0594 0.0683 0.0245 0.0365 0.0034
0.0428 0.0468 0.0347 0.0546 0.0544 0.0045
106.3824 136.0090 123.3648 99.3386 123.0556 257.1412
64.8498 5.8643 12.1269 7.2770 12.6813 10.1904
75.5176 74.7269 74.8949 72.9268 72.8943 1.8025
98.4334 99.9803 97.0516 96.4315 97.9920 2.7295
0.0067 0.0097 0.0050 0.0054 0.0046 0.0030
