, , config1 , , , , , , , , , , config3 , , , , , , , , , , config16 , , , , , , , , , , config17 , , , , , , , , , , config18 , , , , , , , , , , config19 , , , , , , , , , 
instance , , success , iter , visited buckets (%), first feasible bucket (%) , actual int gap (%) , proj int gap (%), num frac (%), obj gap (%), time (s) , , success , iter , visited buckets (%), first feasible bucket (%) , actual int gap (%) , proj int gap (%), num frac (%), obj gap (%), time (s) , , success , iter , visited buckets (%), first feasible bucket (%) , actual int gap (%) , proj int gap (%), num frac (%), obj gap (%), time (s) , , success , iter , visited buckets (%), first feasible bucket (%) , actual int gap (%) , proj int gap (%), num frac (%), obj gap (%), time (s) , , success , iter , visited buckets (%), first feasible bucket (%) , actual int gap (%) , proj int gap (%), num frac (%), obj gap (%), time (s) , , success , iter , visited buckets (%), first feasible bucket (%) , actual int gap (%) , proj int gap (%), num frac (%), obj gap (%), time (s) 
r-stop-dp-C100_3_v2_d0.25_b1 , , 0.000000 , 339.666667 , 100.000000 , 100.000000 , 0.134918 , 0.134918 , 1.107735 , -1.000000 , 3600.109413 , , 1.000000 , 6.000000 , 100.000000 , 100.000000 , 0.000000 , 0.000000 , 0.000000 , 0.000000 , 54.730816 , , 0.000000 , 317.000000 , 97.619048 , 7.142857 , 0.011480 , 0.011480 , 0.111100 , -1.000000 , 3681.039303 , , 1.000000 , 3.333333 , 10.000000 , 10.000000 , 0.000000 , 0.000000 , 0.000000 , 0.000000 , 5.914084 , , 1.000000 , 0.000000 , 100.000000 , 100.000000 , 0.000000 , 0.000000 , 0.000000 , 0.000000 , 4.727653 , , 1.000000 , 0.000000 , 100.000000 , 100.000000 , 0.000000 , 0.000000 , 0.000000 , 0.000000 , 4.161473
r-stop-dp-C100_3_v2_d0.25_b5 , , 0.000000 , 21.666667 , 100.000000 , 100.000000 , 0.173901 , 0.173901 , 1.408359 , -1.000000 , 3600.288161 , , 0.000000 , 2.000000 , 100.000000 , 100.000000 , 0.012195 , 0.012195 , 0.049015 , -1.000000 , 3600.494977 , , 0.000000 , 158.000000 , 100.000000 , 7.142857 , 0.121482 , 0.035318 , 0.457471 , -1.000000 , 3607.878179 , , 1.000000 , 85.333333 , 22.222222 , 11.111111 , 0.000000 , 0.000000 , 0.000000 , 0.000000 , 104.833556 , , 1.000000 , 0.000000 , 100.000000 , 100.000000 , 0.000000 , 0.000000 , 0.000000 , 0.000000 , 15.364910 , , 1.000000 , 0.000000 , 100.000000 , 100.000000 , 0.000000 , 0.000000 , 0.000000 , 0.000000 , 14.519884
r-stop-dp-C100_3_v4_d0.25_b1 , , 0.000000 , 395.000000 , 100.000000 , 100.000000 , 0.107813 , 0.107813 , 0.924746 , -1.000000 , 3600.139967 , , 1.000000 , 6.000000 , 100.000000 , 100.000000 , 0.000000 , 0.000000 , 0.000000 , 0.000000 , 50.071457 , , 0.000000 , 512.333333 , 100.000000 , 14.285714 , 0.109025 , 0.109025 , 0.911675 , -1.000000 , 3602.036333 , , 1.000000 , 2.000000 , 8.333333 , 8.333333 , 0.000000 , 0.000000 , 0.000000 , 0.000000 , 4.854390 , , 1.000000 , 0.000000 , 100.000000 , 100.000000 , 0.000000 , 0.000000 , 0.000000 , 0.000000 , 5.064971 , , 1.000000 , 0.000000 , 100.000000 , 100.000000 , 0.000000 , 0.000000 , 0.000000 , 0.000000 , 3.963833
r-stop-dp-C100_3_v4_d0.25_b5 , , 0.000000 , 25.333333 , 100.000000 , 100.000000 , 0.147988 , 0.147988 , 1.339738 , -1.000000 , 3600.363331 , , 0.000000 , 2.666667 , 100.000000 , 100.000000 , 0.011896 , 0.011896 , 0.071888 , -1.000000 , 3600.372680 , , 0.000000 , 34.000000 , 100.000000 , 15.384615 , 0.170289 , 0.170289 , 1.392020 , -1.000000 , 3607.750867 , , 1.000000 , 85.333333 , 22.222222 , 11.111111 , 0.000000 , 0.000000 , 0.000000 , 0.000000 , 101.921479 , , 1.000000 , 0.000000 , 100.000000 , 100.000000 , 0.000000 , 0.000000 , 0.000000 , 0.000000 , 15.603166 , , 1.000000 , 0.000000 , 100.000000 , 100.000000 , 0.000000 , 0.000000 , 0.000000 , 0.000000 , 14.311160
r-stop-dp-C100_4_v2_d0.25_b1 , , 0.000000 , 362.000000 , 100.000000 , 100.000000 , 0.054810 , 0.054810 , 1.055452 , -1.000000 , 3600.112344 , , 0.333333 , 62.666667 , 100.000000 , 100.000000 , 0.003266 , 0.003266 , 0.045747 , 0.000000 , 2403.967640 , , 0.000000 , 344.000000 , 100.000000 , 8.333333 , 0.005926 , 0.005926 , 0.078424 , -1.000000 , 3601.944315 , , 1.000000 , 2.000000 , 11.111111 , 11.111111 , 0.000000 , 0.000000 , 0.000000 , 0.000000 , 5.516127 , , 1.000000 , 0.000000 , 100.000000 , 100.000000 , 0.000000 , 0.000000 , 0.000000 , 0.000000 , 5.042076 , , 1.000000 , 0.000000 , 100.000000 , 100.000000 , 0.000000 , 0.000000 , 0.000000 , 0.000000 , 4.177377
r-stop-dp-C100_4_v2_d0.25_b5 , , 0.000000 , 17.666667 , 100.000000 , 100.000000 , 0.073312 , 0.073312 , 1.362612 , -1.000000 , 3600.474508 , , 0.000000 , 1.333333 , 100.000000 , 100.000000 , 0.005509 , 0.005509 , 0.075156 , -1.000000 , 3600.346661 , , 0.000000 , 181.666667 , 100.000000 , 8.333333 , 0.046990 , 0.010931 , 0.303892 , -1.000000 , 3608.032843 , , 1.000000 , 0.000000 , 8.333333 , 8.333333 , 0.000000 , 0.000000 , 0.000000 , 0.000000 , 34.449435 , , 1.000000 , 0.000000 , 100.000000 , 100.000000 , 0.000000 , 0.000000 , 0.000000 , 0.000000 , 15.543765 , , 1.000000 , 0.000000 , 100.000000 , 100.000000 , 0.000000 , 0.000000 , 0.000000 , 0.000000 , 14.393919
r-stop-dp-C100_4_v4_d0.25_b1 , , 0.000000 , 410.333333 , 100.000000 , 100.000000 , 0.048274 , 0.048274 , 0.878999 , -1.000000 , 3600.091681 , , 0.333333 , 106.000000 , 100.000000 , 100.000000 , 0.003266 , 0.003266 , 0.045747 , 0.000000 , 2404.294001 , , 1.000000 , 124.000000 , 21.428571 , 14.285714 , 0.000000 , 0.000000 , 0.000000 , 100.000000 , 35.279490 , , 1.000000 , 2.000000 , 11.111111 , 11.111111 , 0.000000 , 0.000000 , 0.000000 , 0.000000 , 5.623985 , , 1.000000 , 0.000000 , 100.000000 , 100.000000 , 0.000000 , 0.000000 , 0.000000 , 0.000000 , 4.943300 , , 1.000000 , 0.000000 , 100.000000 , 100.000000 , 0.000000 , 0.000000 , 0.000000 , 0.000000 , 4.184944
r-stop-dp-C100_4_v4_d0.25_b5 , , 0.000000 , 19.666667 , 100.000000 , 100.000000 , 0.064431 , 0.064431 , 1.293991 , -1.000000 , 3600.518043 , , 0.000000 , 1.000000 , 100.000000 , 100.000000 , 0.005450 , 0.005450 , 0.075156 , -1.000000 , 3600.396744 , , 0.000000 , 218.333333 , 97.619048 , 7.142857 , 0.008735 , 0.008735 , 0.143777 , -1.000000 , 3680.439138 , , 1.000000 , 0.000000 , 8.333333 , 8.333333 , 0.000000 , 0.000000 , 0.000000 , 0.000000 , 29.201862 , , 1.000000 , 0.000000 , 100.000000 , 100.000000 , 0.000000 , 0.000000 , 0.000000 , 0.000000 , 15.560133 , , 1.000000 , 0.000000 , 100.000000 , 100.000000 , 0.000000 , 0.000000 , 0.000000 , 0.000000 , 13.994017
r-stop-dp-C50_3_v2_d0.25_b1 , , 0.000000 , 6367.333333 , 100.000000 , 100.000000 , 0.043863 , 0.043863 , 0.563886 , -1.000000 , 3600.021911 , , 0.666667 , 2250.666667 , 100.000000 , 100.000000 , 0.008673 , 0.008673 , 0.076894 , 50.000000 , 1201.901820 , , 1.000000 , 313.333333 , 33.333333 , 8.333333 , 0.000000 , 0.000000 , 0.000000 , 100.000000 , 138.909948 , , 1.000000 , 0.000000 , 33.333333 , 33.333333 , 0.000000 , 0.000000 , 0.000000 , 0.000000 , 0.794099 , , 1.000000 , 0.000000 , 100.000000 , 100.000000 , 0.000000 , 0.000000 , 0.000000 , 0.000000 , 0.960963 , , 1.000000 , 0.000000 , 100.000000 , 100.000000 , 0.000000 , 0.000000 , 0.000000 , 0.000000 , 0.529180
r-stop-dp-C50_3_v2_d0.25_b5 , , 0.333333 , 533.333333 , 100.000000 , 100.000000 , 0.100672 , 0.100672 , 0.897091 , 100.000000 , 3562.896978 , , 0.666667 , 86.333333 , 100.000000 , 100.000000 , 0.008673 , 0.008673 , 0.076894 , 50.000000 , 1231.825392 , , 1.000000 , 253.333333 , 33.333333 , 8.333333 , 0.000000 , 0.000000 , 0.000000 , 100.000000 , 593.891729 , , 1.000000 , 0.000000 , 33.333333 , 33.333333 , 0.000000 , 0.000000 , 0.000000 , 0.000000 , 3.292737 , , 1.000000 , 0.000000 , 100.000000 , 100.000000 , 0.000000 , 0.000000 , 0.000000 , 0.000000 , 2.787584 , , 1.000000 , 0.000000 , 100.000000 , 100.000000 , 0.000000 , 0.000000 , 0.000000 , 0.000000 , 2.118446
