, , config1 , , , , , , , , , , , , , config3 , , , , , , , , , , , , , config20 , , , , , , , , , , , , , config16 , , , , , , , , , , , , , config17 , , , , , , , , , , , , , config21 , , , , , , , , , , , , , config23 , , , , , , , , , , , , , config19 , , , , , , , , , , , , , config18 , , , , , , , , , , , , 
instance , , total success, avg success , iter , visited buckets (%), first feasible bucket (%) , actual int gap (%) , proj int gap (%), num frac (%), obj gap (%), time (s) , added bin vars (%), active bin vars (%), , total success, avg success , iter , visited buckets (%), first feasible bucket (%) , actual int gap (%) , proj int gap (%), num frac (%), obj gap (%), time (s) , added bin vars (%), active bin vars (%), , total success, avg success , iter , visited buckets (%), first feasible bucket (%) , actual int gap (%) , proj int gap (%), num frac (%), obj gap (%), time (s) , added bin vars (%), active bin vars (%), , total success, avg success , iter , visited buckets (%), first feasible bucket (%) , actual int gap (%) , proj int gap (%), num frac (%), obj gap (%), time (s) , added bin vars (%), active bin vars (%), , total success, avg success , iter , visited buckets (%), first feasible bucket (%) , actual int gap (%) , proj int gap (%), num frac (%), obj gap (%), time (s) , added bin vars (%), active bin vars (%), , total success, avg success , iter , visited buckets (%), first feasible bucket (%) , actual int gap (%) , proj int gap (%), num frac (%), obj gap (%), time (s) , added bin vars (%), active bin vars (%), , total success, avg success , iter , visited buckets (%), first feasible bucket (%) , actual int gap (%) , proj int gap (%), num frac (%), obj gap (%), time (s) , added bin vars (%), active bin vars (%), , total success, avg success , iter , visited buckets (%), first feasible bucket (%) , actual int gap (%) , proj int gap (%), num frac (%), obj gap (%), time (s) , added bin vars (%), active bin vars (%), , total success, avg success , iter , visited buckets (%), first feasible bucket (%) , actual int gap (%) , proj int gap (%), num frac (%), obj gap (%), time (s) , added bin vars (%), active bin vars (%)
30n20b8 , , 0.000000 , 0.000000 , 12000.000000 , -1.000000 , 100.000000 , 0.007404 , 0.011064 , 0.033732 , -1.000000 , 45.056345 , -1.000000 , -1.000000 , , 1.000000 , 0.200000 , 11692.000000 , 100.000000 , 100.000000 , 0.004544 , 0.006536 , 0.019587 , 80.628608 , 39.656022 , 0.000000 , 0.000000 , , 0.000000 , 0.000000 , 12000.000000 , -1.000000 , 100.000000 , 0.003534 , 0.011009 , 0.026115 , -1.000000 , 149.214579 , -1.000000 , -1.000000 , , 1.000000 , 0.200000 , 9770.000000 , 91.666667 , 16.666667 , 0.000828 , 0.003004 , 0.008705 , 92.986530 , 35.535476 , 42.261689 , 0.271838 , , 1.000000 , 0.200000 , 9800.400000 , 90.909091 , 9.090909 , 0.003326 , 0.007374 , 0.019587 , 94.538879 , 36.420304 , 42.270750 , 0.271838 , , 1.000000 , 0.400000 , 7418.800000 , 55.000000 , 10.000000 , 0.001255 , 0.003339 , 0.008705 , 80.602773 , 25.088293 , 42.143893 , 0.271838 , , 1.000000 , 0.600000 , 7108.600000 , 66.666667 , 10.000000 , 0.000535 , 0.001765 , 0.005441 , 92.068252 , 25.227065 , 42.210342 , 0.271838 , , 1.000000 , 1.000000 , 0.000000 , 100.000000 , 100.000000 , 0.000000 , 0.000000 , 0.000000 , 91.533502 , 4.481111 , 0.000000 , 0.000000 , , 1.000000 , 1.000000 , 0.000000 , 100.000000 , 100.000000 , 0.000000 , 0.000000 , 0.000000 , 33.333333 , 3.294066 , 0.000000 , 0.000000
50v-10 , , 1.000000 , 1.000000 , 2.800000 , 100.000000 , 100.000000 , 0.000000 , 0.000000 , 0.000000 , 71.301317 , 0.034203 , 0.000000 , 0.000000 , , 1.000000 , 1.000000 , 0.000000 , 100.000000 , 100.000000 , 0.000000 , 0.000000 , 0.000000 , 99.976429 , 0.018460 , 0.000000 , 0.000000 , , 1.000000 , 1.000000 , 0.000000 , 100.000000 , 100.000000 , 0.000000 , 0.000000 , 0.000000 , 99.976691 , 0.020062 , 0.000000 , 0.000000 , , 1.000000 , 1.000000 , 2.800000 , 100.000000 , 100.000000 , 0.000000 , 0.000000 , 0.000000 , 71.301317 , 0.056932 , 100.000000 , 0.751366 , , 1.000000 , 1.000000 , 0.000000 , 100.000000 , 100.000000 , 0.000000 , 0.000000 , 0.000000 , 99.976429 , 0.026911 , 100.000000 , 0.000000 , , 1.000000 , 1.000000 , 0.000000 , 100.000000 , 100.000000 , 0.000000 , 0.000000 , 0.000000 , 99.976691 , 0.023436 , 100.000000 , 100.000000 , , 1.000000 , 1.000000 , 0.000000 , 100.000000 , 100.000000 , 0.000000 , 0.000000 , 0.000000 , 99.976429 , 0.027916 , 100.000000 , 0.000000 , , 1.000000 , 1.000000 , 0.000000 , 100.000000 , 100.000000 , 0.000000 , 0.000000 , 0.000000 , 99.976691 , 0.015502 , 0.000000 , 0.000000 , , 1.000000 , 1.000000 , 0.000000 , 100.000000 , 100.000000 , 0.000000 , 0.000000 , 0.000000 , 99.976691 , 0.016483 , 0.000000 , 0.000000
CMS750_4 , , 1.000000 , 1.000000 , 34.000000 , 100.000000 , 100.000000 , 0.000000 , 0.000000 , 0.000000 , 49.093821 , 1.820682 , 0.000000 , 0.000000 , , 1.000000 , 1.000000 , 0.000000 , 100.000000 , 100.000000 , 0.000000 , 0.000000 , 0.000000 , 74.622356 , 0.463169 , 0.000000 , 0.000000 , , 1.000000 , 1.000000 , 102.800000 , 100.000000 , 100.000000 , 0.000000 , 0.000000 , 0.000000 , 44.375014 , 2.310785 , 0.000000 , 0.000000 , , 1.000000 , 1.000000 , 0.000000 , 8.333333 , 8.333333 , 0.000000 , 0.000000 , 0.000000 , 74.622356 , 0.951699 , 10.325181 , 0.000000 , , 1.000000 , 1.000000 , 0.000000 , 100.000000 , 100.000000 , 0.000000 , 0.000000 , 0.000000 , 74.622356 , 0.576352 , 99.513619 , 0.000000 , , 1.000000 , 1.000000 , 0.000000 , 7.692308 , 7.692308 , 0.000000 , 0.000000 , 0.000000 , 74.622356 , 1.077737 , 7.031684 , 0.000000 , , 1.000000 , 1.000000 , 0.000000 , 7.692308 , 7.692308 , 0.000000 , 0.000000 , 0.000000 , 74.622356 , 1.026776 , 7.031684 , 0.000000 , , 1.000000 , 1.000000 , 0.000000 , 100.000000 , 100.000000 , 0.000000 , 0.000000 , 0.000000 , 74.622356 , 0.751447 , 0.000000 , 0.000000 , , 1.000000 , 1.000000 , 0.000000 , 100.000000 , 100.000000 , 0.000000 , 0.000000 , 0.000000 , 74.622356 , 0.746561 , 0.000000 , 0.000000
academictimetablesmall , , 0.000000 , 0.000000 , 5096.400000 , -1.000000 , 100.000000 , 0.173489 , 0.155133 , 1.538408 , -1.000000 , 3600.000000 , -1.000000 , -1.000000 , , 0.000000 , 0.000000 , 5071.400000 , -1.000000 , 100.000000 , 0.168122 , 0.142706 , 1.286040 , -1.000000 , 3600.000000 , -1.000000 , -1.000000 , , 0.000000 , 0.000000 , 3904.200000 , -1.000000 , 100.000000 , 0.146586 , 0.134661 , 0.994953 , -1.000000 , 3600.000000 , -1.000000 , -1.000000 , , 0.000000 , 0.000000 , 4039.200000 , -1.000000 , 85.714286 , 0.151501 , 0.128898 , 1.329600 , -1.000000 , 3600.000000 , -1.000000 , -1.000000 , , 0.000000 , 0.000000 , 4209.400000 , -1.000000 , 61.538462 , 0.160228 , 0.125818 , 1.260458 , -1.000000 , 3600.000000 , -1.000000 , -1.000000 , , 0.000000 , 0.000000 , 4214.600000 , -1.000000 , 100.000000 , 0.151952 , 0.133917 , 1.192699 , -1.000000 , 3600.000000 , -1.000000 , -1.000000 , , 0.000000 , 0.000000 , 4128.000000 , -1.000000 , 100.000000 , 0.164936 , 0.145560 , 1.282583 , -1.000000 , 3600.000000 , -1.000000 , -1.000000 , , 1.000000 , 1.000000 , 0.000000 , 100.000000 , 100.000000 , 0.000000 , 0.000000 , 0.000000 , 100.000000 , 365.898294 , 0.000000 , 0.000000 , , 1.000000 , 1.000000 , 0.000000 , 100.000000 , 100.000000 , 0.000000 , 0.000000 , 0.000000 , 100.000000 , 587.387747 , 0.000000 , 0.000000
air05 , , 1.000000 , 1.000000 , 1.000000 , 100.000000 , 100.000000 , 0.000000 , 0.000000 , 0.000000 , 7.651290 , 1.481416 , 0.000000 , 0.000000 , , 1.000000 , 1.000000 , 5.400000 , 100.000000 , 100.000000 , 0.000000 , 0.000000 , 0.000000 , 32.460265 , 2.493728 , 0.000000 , 0.000000 , , 1.000000 , 1.000000 , 1.800000 , 100.000000 , 100.000000 , 0.000000 , 0.000000 , 0.000000 , 55.853004 , 0.728248 , 0.000000 , 0.000000 , , 1.000000 , 1.000000 , 6.000000 , 40.000000 , 40.000000 , 0.000000 , 0.000000 , 0.000000 , 16.928963 , 4.205148 , 85.267547 , 0.986796 , , 1.000000 , 1.000000 , 7.800000 , 28.571429 , 28.571429 , 0.000000 , 0.000000 , 0.000000 , 29.064815 , 3.067820 , 84.961779 , 0.881167 , , 1.000000 , 1.000000 , 11.200000 , 14.285714 , 14.285714 , 0.000000 , 0.000000 , 0.000000 , 49.840905 , 4.378920 , 83.224461 , 1.231411 , , 1.000000 , 1.000000 , 6.400000 , 14.285714 , 14.285714 , 0.000000 , 0.000000 , 0.000000 , 29.435190 , 3.045547 , 83.224461 , 0.861710 , , 1.000000 , 1.000000 , 0.000000 , 100.000000 , 100.000000 , 0.000000 , 0.000000 , 0.000000 , 11.757227 , 0.022739 , 0.000000 , 0.000000 , , 1.000000 , 1.000000 , 0.000000 , 100.000000 , 100.000000 , 0.000000 , 0.000000 , 0.000000 , 11.757227 , 0.025070 , 0.000000 , 0.000000
app1-1 , , 1.000000 , 1.000000 , 4.400000 , 100.000000 , 100.000000 , 0.000000 , 0.000000 , 0.000000 , 66.666667 , 0.166950 , 0.000000 , 0.000000 , , 1.000000 , 1.000000 , 8.400000 , 100.000000 , 100.000000 , 0.000000 , 0.000000 , 0.000000 , 66.666667 , 0.204304 , 0.000000 , 0.000000 , , 1.000000 , 1.000000 , 6.600000 , 100.000000 , 100.000000 , 0.000000 , 0.000000 , 0.000000 , 66.666667 , 0.279178 , 0.000000 , 0.000000 , , 1.000000 , 1.000000 , 86.600000 , 33.333333 , 16.666667 , 0.000000 , 0.000000 , 0.000000 , 33.333333 , 0.215602 , 85.714286 , 1.959184 , , 1.000000 , 1.000000 , 8.600000 , 7.692308 , 7.692308 , 0.000000 , 0.000000 , 0.000000 , 60.000000 , 0.161070 , 80.163265 , 1.959184 , , 1.000000 , 1.000000 , 0.000000 , 9.090909 , 9.090909 , 0.000000 , 0.000000 , 0.000000 , 66.666667 , 0.341912 , 2.040816 , 2.040816 , , 1.000000 , 1.000000 , 0.000000 , 9.090909 , 9.090909 , 0.000000 , 0.000000 , 0.000000 , 66.666667 , 0.342701 , 2.040816 , 1.959184 , , 1.000000 , 1.000000 , 0.000000 , 100.000000 , 100.000000 , 0.000000 , 0.000000 , 0.000000 , 100.000000 , 0.557509 , 0.000000 , 0.000000 , , 1.000000 , 1.000000 , 0.000000 , 100.000000 , 100.000000 , 0.000000 , 0.000000 , 0.000000 , 33.333333 , 0.699567 , 0.000000 , 0.000000
app1-2 , , 1.000000 , 1.000000 , 6.600000 , 100.000000 , 100.000000 , 0.000000 , 0.000000 , 0.000000 , 42.439024 , 3.508915 , 0.000000 , 0.000000 , , 1.000000 , 1.000000 , 26.800000 , 100.000000 , 100.000000 , 0.000000 , 0.000000 , 0.000000 , 42.439024 , 4.564506 , 0.000000 , 0.000000 , , 1.000000 , 1.000000 , 9.600000 , 100.000000 , 100.000000 , 0.000000 , 0.000000 , 0.000000 , 50.731707 , 5.518760 , 0.000000 , 0.000000 , , 1.000000 , 1.000000 , 18.600000 , 16.666667 , 16.666667 , 0.000000 , 0.000000 , 0.000000 , 42.439024 , 4.840065 , 83.097744 , 1.956391 , , 1.000000 , 1.000000 , 765.800000 , 81.818182 , 9.090909 , 0.000000 , 0.000000 , 0.000000 , 46.341463 , 32.627576 , 84.947368 , 1.956391 , , 1.000000 , 1.000000 , 0.000000 , 8.333333 , 8.333333 , 0.000000 , 0.000000 , 0.000000 , 51.219512 , 6.974708 , 1.954887 , 1.954887 , , 1.000000 , 1.000000 , 0.000000 , 8.333333 , 8.333333 , 0.000000 , 0.000000 , 0.000000 , 51.219512 , 6.970312 , 1.954887 , 1.954887 , , 1.000000 , 1.000000 , 0.000000 , 100.000000 , 100.000000 , 0.000000 , 0.000000 , 0.000000 , 9.756098 , 28.439038 , 0.000000 , 0.000000 , , 1.000000 , 1.000000 , 0.000000 , 100.000000 , 100.000000 , 0.000000 , 0.000000 , 0.000000 , 0.000000 , 68.390823 , 0.000000 , 0.000000
assign1-5-8 , , 1.000000 , 1.000000 , 1.000000 , 100.000000 , 100.000000 , 0.000000 , 0.000000 , 0.000000 , 15.669577 , 0.022595 , 0.000000 , 0.000000 , , 1.000000 , 1.000000 , 0.000000 , 100.000000 , 100.000000 , 0.000000 , 0.000000 , 0.000000 , 11.297071 , 0.013304 , 0.000000 , 0.000000 , , 1.000000 , 1.000000 , 0.000000 , 100.000000 , 100.000000 , 0.000000 , 0.000000 , 0.000000 , 22.627737 , 0.012133 , 0.000000 , 0.000000 , , 1.000000 , 1.000000 , 1.000000 , 12.500000 , 12.500000 , 0.000000 , 0.000000 , 0.000000 , 11.852412 , 0.043360 , 62.307692 , 20.000000 , , 1.000000 , 1.000000 , 0.000000 , 100.000000 , 100.000000 , 0.000000 , 0.000000 , 0.000000 , 11.297071 , 0.016145 , 100.000000 , 20.000000 , , 1.000000 , 1.000000 , 0.000000 , 100.000000 , 100.000000 , 0.000000 , 0.000000 , 0.000000 , 22.627737 , 0.015166 , 100.000000 , 20.000000 , , 1.000000 , 1.000000 , 0.000000 , 100.000000 , 100.000000 , 0.000000 , 0.000000 , 0.000000 , 11.297071 , 0.014371 , 100.000000 , 20.000000 , , 1.000000 , 1.000000 , 0.000000 , 100.000000 , 100.000000 , 0.000000 , 0.000000 , 0.000000 , 15.873016 , 0.009123 , 0.000000 , 0.000000 , , 1.000000 , 1.000000 , 0.000000 , 100.000000 , 100.000000 , 0.000000 , 0.000000 , 0.000000 , 15.873016 , 0.009132 , 0.000000 , 0.000000
atlanta-ip , , 1.000000 , 1.000000 , 7.000000 , 100.000000 , 100.000000 , 0.000000 , 0.000000 , 0.000000 , 22.032997 , 6.268530 , 0.000000 , 0.000000 , , 1.000000 , 1.000000 , 7.400000 , 100.000000 , 100.000000 , 0.000000 , 0.000000 , 0.000000 , 44.309965 , 1.834943 , 0.000000 , 0.000000 , , 1.000000 , 1.000000 , 45.200000 , 100.000000 , 100.000000 , 0.000000 , 0.000000 , 0.000000 , 54.559322 , 4.453537 , 0.000000 , 0.000000 , , 1.000000 , 1.000000 , 8.400000 , 92.857143 , 92.857143 , 0.000000 , 0.000000 , 0.000000 , 21.133904 , 10.811455 , 34.399040 , 2.913408 , , 1.000000 , 1.000000 , 6.600000 , 100.000000 , 100.000000 , 0.000000 , 0.000000 , 0.000000 , 47.010769 , 2.536037 , 34.403326 , 2.628410 , , 1.000000 , 1.000000 , 643.000000 , 100.000000 , 100.000000 , 0.000000 , 0.000000 , 0.000000 , 54.557630 , 19.163552 , 34.403326 , 20.833137 , , 1.000000 , 1.000000 , 6.600000 , 100.000000 , 100.000000 , 0.000000 , 0.000000 , 0.000000 , 47.010769 , 2.730869 , 34.403326 , 2.628410 , , 1.000000 , 1.000000 , 0.000000 , 100.000000 , 100.000000 , 0.000000 , 0.000000 , 0.000000 , 11.763911 , 193.573643 , 0.000000 , 0.000000 , , 1.000000 , 1.000000 , 0.000000 , 100.000000 , 100.000000 , 0.000000 , 0.000000 , 0.000000 , 12.620267 , 65.494979 , 0.000000 , 0.000000
b1c1s1 , , 1.000000 , 1.000000 , 5.400000 , 100.000000 , 100.000000 , 0.000000 , 0.000000 , 0.000000 , 49.264034 , 0.411593 , 0.000000 , 0.000000 , , 1.000000 , 1.000000 , 4.200000 , 100.000000 , 100.000000 , 0.000000 , 0.000000 , 0.000000 , 45.941209 , 0.738054 , 0.000000 , 0.000000 , , 1.000000 , 1.000000 , 0.000000 , 100.000000 , 100.000000 , 0.000000 , 0.000000 , 0.000000 , 67.188376 , 0.084793 , 0.000000 , 0.000000 , , 1.000000 , 1.000000 , 3.800000 , 25.000000 , 25.000000 , 0.000000 , 0.000000 , 0.000000 , 54.332952 , 0.811871 , 90.277778 , 42.361111 , , 1.000000 , 1.000000 , 4.800000 , 12.500000 , 12.500000 , 0.000000 , 0.000000 , 0.000000 , 42.262394 , 1.636708 , 66.319444 , 34.861111 , , 1.000000 , 1.000000 , 0.000000 , 100.000000 , 100.000000 , 0.000000 , 0.000000 , 0.000000 , 67.188376 , 0.145442 , 100.000000 , 100.000000 , , 1.000000 , 1.000000 , 4.200000 , 100.000000 , 100.000000 , 0.000000 , 0.000000 , 0.000000 , 45.941209 , 1.027120 , 100.000000 , 37.083333 , , 1.000000 , 1.000000 , 0.000000 , 100.000000 , 100.000000 , 0.000000 , 0.000000 , 0.000000 , 67.188376 , 0.057634 , 0.000000 , 0.000000 , , 1.000000 , 1.000000 , 0.000000 , 100.000000 , 100.000000 , 0.000000 , 0.000000 , 0.000000 , 67.188376 , 0.058671 , 0.000000 , 0.000000
