, , config1 , , , , , , , , , , config3 , , , , , , , , , , config4 , , , , , , , , , , config5 , , , , , , , , , , config16 , , , , , , , , , , config17 , , , , , , , , , 
instance , , success , iter , visited buckets (%), first feasible bucket (%) , actual int gap (%) , proj int gap (%), num frac (%), obj gap (%), time (s) , , success , iter , visited buckets (%), first feasible bucket (%) , actual int gap (%) , proj int gap (%), num frac (%), obj gap (%), time (s) , , success , iter , visited buckets (%), first feasible bucket (%) , actual int gap (%) , proj int gap (%), num frac (%), obj gap (%), time (s) , , success , iter , visited buckets (%), first feasible bucket (%) , actual int gap (%) , proj int gap (%), num frac (%), obj gap (%), time (s) , , success , iter , visited buckets (%), first feasible bucket (%) , actual int gap (%) , proj int gap (%), num frac (%), obj gap (%), time (s) , , success , iter , visited buckets (%), first feasible bucket (%) , actual int gap (%) , proj int gap (%), num frac (%), obj gap (%), time (s) ,
30n20b8 , ,0,12000,100,100,0.008499,0.008861,0.030831,-1,50.963995, ,0.333333,11486.666667,100,100,0.004221,0.004221,0.016322,80.628608,44.891402, ,0,12000,100,100,0.00836,0.009597,0.032644,-1,51.180689, ,0,12000,100,100,0.004732,0.006473,0.019949,-1,47.241404, ,0.333333,8283.333333,97.222222,16.666667,0.0013,0.0013,0.007254,92.98653,32.392638, ,0.333333,8334,96.969697,9.090909,0.002117,0.007203,0.012695,94.538879,36.061284,
50v-10 , ,1,3.333333,100,100,0,0,0,71.418594,0.041258, ,1,0,100,100,0,0,0,99.976429,0.020585, ,1,3.333333,100,100,0,0,0,71.418594,0.071193, ,1,0,100,100,0,0,0,99.976429,0.032458, ,1,3.333333,100,100,0,0,0,71.418594,0.063426, ,1,0,100,100,0,0,0,99.976429,0.028276,
CMS750_4 , ,1,33.666667,100,100,0,0,0,51.613548,2.187714, ,1,0,100,100,0,0,0,74.622356,0.478403, ,1,0,8.333333,8.333333,0,0,0,74.622356,0.868014, ,1,0,100,100,0,0,0,74.622356,0.666408, ,1,0,8.333333,8.333333,0,0,0,74.622356,0.912599, ,1,0,100,100,0,0,0,74.622356,0.665423,
academictimetablesmall , ,0,4929.333333,100,100,0.175833,0.149999,1.351725,-1,3600.062483, ,0,5001.333333,100,100,0.164452,0.138285,1.261841,-1,3600.090102, ,0,4562.666667,100,91.666667,0.167709,0.130546,1.060177,-1,3600.443604, ,0,4996,100,100,0.164452,0.138285,1.261841,-1,3600.44649, ,0,4898.333333,100,85.714286,0.153268,0.130654,1.363249,-1,3600.414535, ,0,5018,100,61.538462,0.151411,0.122105,1.130471,-1,3600.437953,
air05 , ,1,1,100,100,0,0,0,7.58611,1.5665, ,1,4,100,100,0,0,0,32.88717,2.403552, ,1,1,100,100,0,0,0,7.58611,1.780798, ,1,4,100,100,0,0,0,32.88717,2.251729, ,1,7,40,40,0,0,0,14.608561,3.591975, ,1,7.666667,28.571429,28.571429,0,0,0,29.615318,2.822159,
app1-1 , ,1,4,100,100,0,0,0,66.666667,0.209533, ,1,8,100,100,0,0,0,77.777778,0.256705, ,1,410.666667,100,16.666667,0,0,0,0,0.901115, ,1,777,90.909091,9.090909,0,0,0,100,1.752059, ,1,84,33.333333,16.666667,0,0,0,33.333333,0.227594, ,1,10,7.692308,7.692308,0,0,0,66.666667,0.279956,
app1-2 , ,1,7.333333,100,100,0,0,0,42.276423,4.252096, ,1,24,100,100,0,0,0,43.089431,5.707031, ,1,195.333333,100,50,0,0,0,36.585366,6.785827, ,1,15,100,100,0,0,0,35.772358,5.278565, ,1,17.333333,16.666667,16.666667,0,0,0,43.902439,5.721332, ,1,754.333333,81.818182,9.090909,0,0,0,47.154472,70.958205,
assign1-5-8 , ,1,1,100,100,0,0,0,14.943259,0.025559, ,1,0,100,100,0,0,0,11.297071,0.015174, ,1,1,16.666667,16.666667,0,0,0,10.904246,0.047561, ,1,0,50,50,0,0,0,11.297071,0.015524, ,1,1,12.5,12.5,0,0,0,10.904246,0.042417, ,1,0,100,100,0,0,0,11.297071,0.015453,
atlanta-ip , ,1,9,100,100,0,0,0,22.703813,7.450528, ,1,3.666667,100,100,0,0,0,42.129373,1.803626, ,1,120.333333,100,92.307692,0,0,0,20.029397,11.640053, ,1,1,83.333333,83.333333,0,0,0,37.497452,1.903294, ,1,11.333333,92.857143,92.857143,0,0,0,21.692257,12.923111, ,1,4.333333,100,100,0,0,0,45.887631,2.693078,
