, , config1 , , , , , , , , , , config3 , , , , , , , , , , config4 , , , , , , , , , , config5 , , , , , , , , , , config16 , , , , , , , , , , config17 , , , , , , , , , 
instance , , success , iter , visited buckets (%), first feasible bucket (%) , actual int gap (%) , proj int gap (%), num frac (%), obj gap (%), time (s) , , success , iter , visited buckets (%), first feasible bucket (%) , actual int gap (%) , proj int gap (%), num frac (%), obj gap (%), time (s) , , success , iter , visited buckets (%), first feasible bucket (%) , actual int gap (%) , proj int gap (%), num frac (%), obj gap (%), time (s) , , success , iter , visited buckets (%), first feasible bucket (%) , actual int gap (%) , proj int gap (%), num frac (%), obj gap (%), time (s) , , success , iter , visited buckets (%), first feasible bucket (%) , actual int gap (%) , proj int gap (%), num frac (%), obj gap (%), time (s) , , success , iter , visited buckets (%), first feasible bucket (%) , actual int gap (%) , proj int gap (%), num frac (%), obj gap (%), time (s) 
CMS750_4 , , 1.000000 , 33.666667 , 100.000000 , 100.000000 , 0.000000 , 0.000000 , 0.000000 , 51.613548 , 2.187714 , , 1.000000 , 0.000000 , 100.000000 , 100.000000 , 0.000000 , 0.000000 , 0.000000 , 74.622356 , 0.478403 , , 1.000000 , 0.000000 , 8.333333 , 8.333333 , 0.000000 , 0.000000 , 0.000000 , 74.622356 , 0.868014 , , 1.000000 , 0.000000 , 100.000000 , 100.000000 , 0.000000 , 0.000000 , 0.000000 , 74.622356 , 0.666408 , , 1.000000 , 0.000000 , 8.333333 , 8.333333 , 0.000000 , 0.000000 , 0.000000 , 74.622356 , 0.912599 , , 1.000000 , 0.000000 , 100.000000 , 100.000000 , 0.000000 , 0.000000 , 0.000000 , 74.622356 , 0.665423
academictimetablesmall , , 0.000000 , 4929.333333 , 100.000000 , 100.000000 , 0.175833 , 0.149999 , 1.351725 , -1.000000 , 3600.062483 , , 0.000000 , 5001.333333 , 100.000000 , 100.000000 , 0.164452 , 0.138285 , 1.261841 , -1.000000 , 3600.090102 , , 0.000000 , 4562.666667 , 100.000000 , 91.666667 , 0.167709 , 0.130546 , 1.060177 , -1.000000 , 3600.443604 , , 0.000000 , 4996.000000 , 100.000000 , 100.000000 , 0.164452 , 0.138285 , 1.261841 , -1.000000 , 3600.446490 , , 0.000000 , 4898.333333 , 100.000000 , 85.714286 , 0.153268 , 0.130654 , 1.363249 , -1.000000 , 3600.414535 , , 0.000000 , 5018.000000 , 100.000000 , 61.538462 , 0.151411 , 0.122105 , 1.130471 , -1.000000 , 3600.437953
air05 , , 1.000000 , 1.000000 , 100.000000 , 100.000000 , 0.000000 , 0.000000 , 0.000000 , 7.586110 , 1.566500 , , 1.000000 , 4.000000 , 100.000000 , 100.000000 , 0.000000 , 0.000000 , 0.000000 , 32.887170 , 2.403552 , , 1.000000 , 1.000000 , 100.000000 , 100.000000 , 0.000000 , 0.000000 , 0.000000 , 7.586110 , 1.780798 , , 1.000000 , 4.000000 , 100.000000 , 100.000000 , 0.000000 , 0.000000 , 0.000000 , 32.887170 , 2.251729 , , 1.000000 , 7.000000 , 40.000000 , 40.000000 , 0.000000 , 0.000000 , 0.000000 , 14.608561 , 3.591975 , , 1.000000 , 7.666667 , 28.571429 , 28.571429 , 0.000000 , 0.000000 , 0.000000 , 29.615318 , 2.822159
app1-1 , , 1.000000 , 4.000000 , 100.000000 , 100.000000 , 0.000000 , 0.000000 , 0.000000 , 66.666667 , 0.209533 , , 1.000000 , 8.000000 , 100.000000 , 100.000000 , 0.000000 , 0.000000 , 0.000000 , 77.777778 , 0.256705 , , 1.000000 , 410.666667 , 100.000000 , 16.666667 , 0.000000 , 0.000000 , 0.000000 , 0.000000 , 0.901115 , , 1.000000 , 777.000000 , 90.909091 , 9.090909 , 0.000000 , 0.000000 , 0.000000 , 100.000000 , 1.752059 , , 1.000000 , 84.000000 , 33.333333 , 16.666667 , 0.000000 , 0.000000 , 0.000000 , 33.333333 , 0.227594 , , 1.000000 , 10.000000 , 7.692308 , 7.692308 , 0.000000 , 0.000000 , 0.000000 , 66.666667 , 0.279956
app1-2 , , 1.000000 , 7.333333 , 100.000000 , 100.000000 , 0.000000 , 0.000000 , 0.000000 , 42.276423 , 4.252096 , , 1.000000 , 24.000000 , 100.000000 , 100.000000 , 0.000000 , 0.000000 , 0.000000 , 43.089431 , 5.707031 , , 1.000000 , 195.333333 , 100.000000 , 50.000000 , 0.000000 , 0.000000 , 0.000000 , 36.585366 , 6.785827 , , 1.000000 , 15.000000 , 100.000000 , 100.000000 , 0.000000 , 0.000000 , 0.000000 , 35.772358 , 5.278565 , , 1.000000 , 17.333333 , 16.666667 , 16.666667 , 0.000000 , 0.000000 , 0.000000 , 43.902439 , 5.721332 , , 1.000000 , 754.333333 , 81.818182 , 9.090909 , 0.000000 , 0.000000 , 0.000000 , 47.154472 , 70.958205
assign1-5-8 , , 1.000000 , 1.000000 , 100.000000 , 100.000000 , 0.000000 , 0.000000 , 0.000000 , 14.943259 , 0.025559 , , 1.000000 , 0.000000 , 100.000000 , 100.000000 , 0.000000 , 0.000000 , 0.000000 , 11.297071 , 0.015174 , , 1.000000 , 1.000000 , 16.666667 , 16.666667 , 0.000000 , 0.000000 , 0.000000 , 10.904246 , 0.047561 , , 1.000000 , 0.000000 , 50.000000 , 50.000000 , 0.000000 , 0.000000 , 0.000000 , 11.297071 , 0.015524 , , 1.000000 , 1.000000 , 12.500000 , 12.500000 , 0.000000 , 0.000000 , 0.000000 , 10.904246 , 0.042417 , , 1.000000 , 0.000000 , 100.000000 , 100.000000 , 0.000000 , 0.000000 , 0.000000 , 11.297071 , 0.015453
b1c1s1 , , 1.000000 , 7.000000 , 100.000000 , 100.000000 , 0.000000 , 0.000000 , 0.000000 , 39.356254 , 0.638787 , , 1.000000 , 6.000000 , 100.000000 , 100.000000 , 0.000000 , 0.000000 , 0.000000 , 43.732972 , 0.876416 , , 1.000000 , 4.666667 , 11.111111 , 11.111111 , 0.000000 , 0.000000 , 0.000000 , 50.121070 , 0.675373 , , 1.000000 , 5.666667 , 20.000000 , 20.000000 , 0.000000 , 0.000000 , 0.000000 , 41.912527 , 1.073136 , , 1.000000 , 5.333333 , 25.000000 , 25.000000 , 0.000000 , 0.000000 , 0.000000 , 53.713843 , 0.745645 , , 1.000000 , 6.333333 , 12.500000 , 12.500000 , 0.000000 , 0.000000 , 0.000000 , 39.888649 , 1.282661
bab2 , , 0.000000 , 911.333333 , 100.000000 , 100.000000 , 0.004282 , 0.002254 , 0.008564 , -1.000000 , 3600.207776 , , 0.000000 , 842.000000 , 100.000000 , 100.000000 , 0.004733 , 0.002479 , 0.009465 , -1.000000 , 3600.130897 , , 0.000000 , 910.000000 , 100.000000 , 100.000000 , 0.004282 , 0.002254 , 0.008564 , -1.000000 , 3601.681781 , , 0.000000 , 839.000000 , 100.000000 , 100.000000 , 0.004733 , 0.002479 , 0.009465 , -1.000000 , 3601.640551 , , 0.000000 , 813.000000 , 100.000000 , 75.000000 , 0.004507 , 0.002592 , 0.009014 , -1.000000 , 3601.828781 , , 0.000000 , 1236.666667 , 100.000000 , 15.384615 , 0.006085 , 0.003268 , 0.012169 , -1.000000 , 3601.856712
bab6 , , 1.000000 , 814.000000 , 100.000000 , 100.000000 , 0.000000 , 0.000000 , 0.000000 , 65.838792 , 348.228131 , , 0.666667 , 2900.333333 , 100.000000 , 100.000000 , 0.000146 , 0.000146 , 0.000292 , 100.000000 , 1263.282718 , , 1.000000 , 814.000000 , 100.000000 , 100.000000 , 0.000000 , 0.000000 , 0.000000 , 65.838792 , 357.009273 , , 0.666667 , 2892.000000 , 100.000000 , 100.000000 , 0.000146 , 0.000146 , 0.000292 , 100.000000 , 1269.500965 , , 0.000000 , 4473.000000 , 100.000000 , 42.857143 , 0.000438 , 0.000438 , 0.000875 , -1.000000 , 3601.649479 , , 1.000000 , 340.333333 , 35.897436 , 15.384615 , 0.000000 , 0.000000 , 0.000000 , 100.000000 , 123.821397
beasleyC3 , , 1.000000 , 7.666667 , 100.000000 , 100.000000 , 0.000000 , 0.000000 , 0.000000 , 13.644527 , 0.085451 , , 1.000000 , 8.333333 , 100.000000 , 100.000000 , 0.000000 , 0.000000 , 0.000000 , 15.775559 , 0.092590 , , 1.000000 , 9.333333 , 50.000000 , 50.000000 , 0.000000 , 0.000000 , 0.000000 , 20.715037 , 0.085102 , , 1.000000 , 9.000000 , 50.000000 , 50.000000 , 0.000000 , 0.000000 , 0.000000 , 24.975124 , 0.083066 , , 1.000000 , 7.666667 , 12.500000 , 12.500000 , 0.000000 , 0.000000 , 0.000000 , 19.040408 , 0.104963 , , 1.000000 , 7.666667 , 14.285714 , 14.285714 , 0.000000 , 0.000000 , 0.000000 , 18.623892 , 0.091797
binkar10_1 , , 1.000000 , 6.666667 , 100.000000 , 100.000000 , 0.000000 , 0.000000 , 0.000000 , 7.992379 , 0.075774 , , 1.000000 , 1.000000 , 100.000000 , 100.000000 , 0.000000 , 0.000000 , 0.000000 , 43.644222 , 0.045791 , , 1.000000 , 0.000000 , 10.000000 , 10.000000 , 0.000000 , 0.000000 , 0.000000 , 33.979550 , 0.050431 , , 1.000000 , 0.000000 , 33.333333 , 33.333333 , 0.000000 , 0.000000 , 0.000000 , 43.732053 , 0.031828 , , 1.000000 , 2.000000 , 81.818182 , 81.818182 , 0.000000 , 0.000000 , 0.000000 , 16.542861 , 0.081865 , , 1.000000 , 3.000000 , 33.333333 , 33.333333 , 0.000000 , 0.000000 , 0.000000 , 43.651732 , 0.052274
blp-ar98 , , 1.000000 , 12.000000 , 100.000000 , 100.000000 , 0.000000 , 0.000000 , 0.000000 , 53.989819 , 2.389576 , , 1.000000 , 3.000000 , 100.000000 , 100.000000 , 0.000000 , 0.000000 , 0.000000 , 54.998458 , 1.232575 , , 1.000000 , 418.000000 , 87.179487 , 61.538462 , 0.000000 , 0.000000 , 0.000000 , 38.759192 , 1.066343 , , 1.000000 , 3.000000 , 100.000000 , 100.000000 , 0.000000 , 0.000000 , 0.000000 , 54.998458 , 1.354576 , , 1.000000 , 6.666667 , 21.428571 , 21.428571 , 0.000000 , 0.000000 , 0.000000 , 41.064405 , 2.028411 , , 1.000000 , 7.333333 , 16.666667 , 16.666667 , 0.000000 , 0.000000 , 0.000000 , 58.647515 , 2.048032
blp-ic98 , , 1.000000 , 1.000000 , 100.000000 , 100.000000 , 0.000000 , 0.000000 , 0.000000 , 24.102828 , 0.979470 , , 1.000000 , 1.333333 , 100.000000 , 100.000000 , 0.000000 , 0.000000 , 0.000000 , 60.202503 , 0.891213 , , 1.000000 , 0.000000 , 10.000000 , 10.000000 , 0.000000 , 0.000000 , 0.000000 , 17.531226 , 0.612287 , , 1.000000 , 0.000000 , 12.500000 , 12.500000 , 0.000000 , 0.000000 , 0.000000 , 56.103431 , 0.563673 , , 1.000000 , 3.000000 , 8.333333 , 8.333333 , 0.000000 , 0.000000 , 0.000000 , 32.399484 , 0.634027 , , 1.000000 , 1.000000 , 10.000000 , 10.000000 , 0.000000 , 0.000000 , 0.000000 , 48.215160 , 0.776950
bnatt400 , , 0.000000 , 12000.000000 , 100.000000 , 100.000000 , 0.206941 , 0.279472 , 1.361111 , -1.000000 , 472.830162 , , 0.000000 , 12000.000000 , 100.000000 , 100.000000 , 0.180212 , 0.236382 , 1.111111 , -1.000000 , 467.438268 , , 0.000000 , 12000.000000 , 100.000000 , 90.909091 , 0.168904 , 0.258410 , 1.157407 , -1.000000 , 472.396714 , , 0.000000 , 12000.000000 , 100.000000 , 100.000000 , 0.180212 , 0.236382 , 1.111111 , -1.000000 , 469.006186 , , 0.000000 , 12000.000000 , 100.000000 , 100.000000 , 0.206941 , 0.279472 , 1.361111 , -1.000000 , 471.930119 , , 0.000000 , 12000.000000 , 100.000000 , 23.076923 , 0.187067 , 0.249104 , 1.416667 , -1.000000 , 487.580044
