, , config1 , , , , , , , , , , config3 , , , , , , , , , , config16 , , , , , , , , , , config17 , , , , , , , , , , config18 , , , , , , , , , , config19 , , , , , , , , , 
instance , , success , iter , visited buckets (%), first feasible bucket (%) , actual int gap (%) , proj int gap (%), num frac (%), obj gap (%), time (s) , , success , iter , visited buckets (%), first feasible bucket (%) , actual int gap (%) , proj int gap (%), num frac (%), obj gap (%), time (s) , , success , iter , visited buckets (%), first feasible bucket (%) , actual int gap (%) , proj int gap (%), num frac (%), obj gap (%), time (s) , , success , iter , visited buckets (%), first feasible bucket (%) , actual int gap (%) , proj int gap (%), num frac (%), obj gap (%), time (s) , , success , iter , visited buckets (%), first feasible bucket (%) , actual int gap (%) , proj int gap (%), num frac (%), obj gap (%), time (s) , , success , iter , visited buckets (%), first feasible bucket (%) , actual int gap (%) , proj int gap (%), num frac (%), obj gap (%), time (s) 
circ18abal , , 0.000000 , 178.333333 , 100.000000 , 100.000000 , 0.013213 , 0.015364 , 0.300587 , -1.000000 , 3600.101568 , , 0.000000 , 190.666667 , 100.000000 , 100.000000 , 0.016408 , 0.018396 , 0.304569 , -1.000000 , 3600.097133 , , 0.666667 , 125.666667 , 56.410256 , 15.384615 , 0.001739 , 0.001739 , 0.094224 , 100.000000 , 1748.438089 , , 0.666667 , 140.333333 , 53.846154 , 7.692308 , 0.001638 , 0.001658 , 0.078741 , 100.000000 , 1896.193355 , , 1.000000 , 0.000000 , 100.000000 , 100.000000 , 0.000000 , 0.000000 , 0.000000 , 100.000000 , 572.087168 , , 1.000000 , 0.000000 , 100.000000 , 100.000000 , 0.000000 , 0.000000 , 0.000000 , 100.000000 , 960.689660
circ18anonbal , , 0.000000 , 169.333333 , 100.000000 , 100.000000 , 0.012694 , 0.013267 , 0.283642 , -1.000000 , 3600.114804 , , 0.000000 , 150.333333 , 100.000000 , 100.000000 , 0.012877 , 0.014824 , 0.256795 , -1.000000 , 3600.076260 , , 0.333333 , 164.666667 , 76.923077 , 15.384615 , 0.003220 , 0.003220 , 0.170418 , 100.000000 , 2620.684233 , , 1.000000 , 53.000000 , 25.641026 , 7.692308 , 0.000000 , 0.000000 , 0.000000 , 100.000000 , 873.992133 , , 1.000000 , 0.000000 , 100.000000 , 100.000000 , 0.000000 , 0.000000 , 0.000000 , 100.000000 , 1730.020320 , , 1.000000 , 0.000000 , 100.000000 , 100.000000 , 0.000000 , 0.000000 , 0.000000 , 100.000000 , 1413.274933
circ18bbal , , 0.000000 , 197.000000 , 100.000000 , 100.000000 , 0.017157 , 0.018388 , 0.315849 , -1.000000 , 3600.103467 , , 0.000000 , 189.666667 , 100.000000 , 100.000000 , 0.017654 , 0.019862 , 0.327129 , -1.000000 , 3600.107604 , , 1.000000 , 95.333333 , 46.153846 , 15.384615 , 0.000000 , 0.000000 , 0.000000 , 100.000000 , 1233.279889 , , 0.666667 , 137.333333 , 53.846154 , 7.692308 , 0.001655 , 0.001655 , 0.090243 , 100.000000 , 1870.791537 , , 1.000000 , 0.000000 , 100.000000 , 100.000000 , 0.000000 , 0.000000 , 0.000000 , 100.000000 , 2523.030671 , , 1.000000 , 0.000000 , 100.000000 , 100.000000 , 0.000000 , 0.000000 , 0.000000 , 100.000000 , 1088.335089
circ18cbal , , 0.000000 , 178.333333 , 100.000000 , 100.000000 , 0.019897 , 0.022063 , 0.317176 , -1.000000 , 3600.114176 , , 0.000000 , 188.666667 , 100.000000 , 100.000000 , 0.020480 , 0.022800 , 0.298597 , -1.000000 , 3600.104295 , , 1.000000 , 82.333333 , 41.025641 , 15.384615 , 0.000000 , 0.000000 , 0.000000 , 100.000000 , 1028.563469 , , 1.000000 , 53.333333 , 23.076923 , 7.692308 , 0.000000 , 0.000000 , 0.000000 , 100.000000 , 731.857032 , , 1.000000 , 0.000000 , 100.000000 , 100.000000 , 0.000000 , 0.000000 , 0.000000 , 100.000000 , 634.815446 , , 0.000000 , 0.000000 , 100.000000 , 100.000000 , 0.000000 , 0.000000 , 0.000000 , -1.000000 , 3600.034576
circ18dbal , , 0.000000 , 191.000000 , 100.000000 , 100.000000 , 0.016841 , 0.018734 , 0.317839 , -1.000000 , 3600.111459 , , 0.333333 , 134.000000 , 100.000000 , 100.000000 , 0.010513 , 0.010748 , 0.220298 , 100.000000 , 2480.106856 , , 0.666667 , 145.000000 , 64.102564 , 15.384615 , 0.002037 , 0.002041 , 0.095330 , 100.000000 , 2047.331432 , , 1.000000 , 53.666667 , 23.076923 , 7.692308 , 0.000000 , 0.000000 , 0.000000 , 100.000000 , 711.592810 , , 1.000000 , 0.000000 , 100.000000 , 100.000000 , 0.000000 , 0.000000 , 0.000000 , 100.000000 , 2478.194676 , , 1.000000 , 0.000000 , 100.000000 , 100.000000 , 0.000000 , 0.000000 , 0.000000 , 100.000000 , 789.778862
circ18dnonbal , , 0.000000 , 162.333333 , 100.000000 , 100.000000 , 0.013632 , 0.015539 , 0.248102 , -1.000000 , 3600.110725 , , 0.000000 , 160.666667 , 100.000000 , 100.000000 , 0.013194 , 0.014148 , 0.272515 , -1.000000 , 3600.118009 , , 1.000000 , 40.333333 , 30.555556 , 16.666667 , 0.000000 , 0.000000 , 0.000000 , 100.000000 , 682.044419 , , 0.666667 , 134.000000 , 53.846154 , 7.692308 , 0.002176 , 0.002193 , 0.085918 , 100.000000 , 1902.666756 , , 1.000000 , 0.000000 , 100.000000 , 100.000000 , 0.000000 , 0.000000 , 0.000000 , 100.000000 , 845.138856 , , 1.000000 , 0.000000 , 100.000000 , 100.000000 , 0.000000 , 0.000000 , 0.000000 , 100.000000 , 1190.441001
circ18ebal , , 0.000000 , 192.000000 , 100.000000 , 100.000000 , 0.014123 , 0.015189 , 0.327793 , -1.000000 , 3600.094999 , , 0.000000 , 188.666667 , 100.000000 , 100.000000 , 0.017417 , 0.018620 , 0.331774 , -1.000000 , 3600.123697 , , 1.000000 , 38.000000 , 28.205128 , 15.384615 , 0.000000 , 0.000000 , 0.000000 , 100.000000 , 566.767523 , , 0.333333 , 183.333333 , 76.923077 , 7.692308 , 0.002573 , 0.002573 , 0.095330 , 100.000000 , 2731.830320 , , 1.000000 , 0.000000 , 100.000000 , 100.000000 , 0.000000 , 0.000000 , 0.000000 , 100.000000 , 3574.133778 , , 1.000000 , 0.000000 , 100.000000 , 100.000000 , 0.000000 , 0.000000 , 0.000000 , 100.000000 , 1354.799463
circ18enonbal , , 0.000000 , 150.000000 , 100.000000 , 100.000000 , 0.014670 , 0.016482 , 0.239738 , -1.000000 , 3600.147805 , , 0.000000 , 140.666667 , 100.000000 , 100.000000 , 0.008944 , 0.009836 , 0.257288 , -1.000000 , 3600.139347 , , 1.000000 , 142.000000 , 76.923077 , 15.384615 , 0.000000 , 0.000000 , 0.000000 , 100.000000 , 2383.235469 , , 0.666667 , 143.666667 , 69.230769 , 7.692308 , 0.001267 , 0.001267 , 0.002533 , 100.000000 , 2476.480061 , , 1.000000 , 0.000000 , 100.000000 , 100.000000 , 0.000000 , 0.000000 , 0.000000 , 100.000000 , 876.670438 , , 0.000000 , 0.000000 , 100.000000 , 100.000000 , 0.000000 , 0.000000 , 0.000000 , -1.000000 , 3600.008957
circ18fbal , , 0.000000 , 193.000000 , 100.000000 , 100.000000 , 0.013975 , 0.016132 , 0.306780 , -1.000000 , 3600.134642 , , 0.000000 , 188.666667 , 100.000000 , 100.000000 , 0.019847 , 0.021718 , 0.325139 , -1.000000 , 3600.143040 , , 1.000000 , 107.333333 , 51.282051 , 15.384615 , 0.000000 , 0.000000 , 0.000000 , 100.000000 , 1458.327421 , , 1.000000 , 81.666667 , 35.897436 , 7.692308 , 0.000000 , 0.000000 , 0.000000 , 100.000000 , 1206.882785 , , 1.000000 , 0.000000 , 100.000000 , 100.000000 , 0.000000 , 0.000000 , 0.000000 , 100.000000 , 503.080631 , , 1.000000 , 0.000000 , 100.000000 , 100.000000 , 0.000000 , 0.000000 , 0.000000 , 100.000000 , 1237.933228
circ18fnonbal , , 0.000000 , 150.000000 , 100.000000 , 100.000000 , 0.011203 , 0.014520 , 0.249350 , -1.000000 , 3600.173898 , , 0.000000 , 149.000000 , 100.000000 , 100.000000 , 0.012501 , 0.013707 , 0.248063 , -1.000000 , 3600.138004 , , 1.000000 , 35.666667 , 30.769231 , 15.384615 , 0.000000 , 0.000000 , 0.000000 , 100.000000 , 662.684844 , , 1.000000 , 136.666667 , 61.538462 , 7.692308 , 0.000000 , 0.000000 , 0.000000 , 100.000000 , 2100.606112 , , 1.000000 , 0.000000 , 100.000000 , 100.000000 , 0.000000 , 0.000000 , 0.000000 , 100.000000 , 1176.769361 , , 0.000000 , 0.000000 , 100.000000 , 100.000000 , 0.000000 , 0.000000 , 0.000000 , -1.000000 , 3600.012106
circ18gbal , , 0.000000 , 196.000000 , 100.000000 , 100.000000 , 0.012572 , 0.014032 , 0.313416 , -1.000000 , 3600.130764 , , 0.000000 , 189.000000 , 100.000000 , 100.000000 , 0.011920 , 0.013981 , 0.310098 , -1.000000 , 3600.133193 , , 1.000000 , 31.333333 , 23.076923 , 15.384615 , 0.000000 , 0.000000 , 0.000000 , 100.000000 , 468.430560 , , 0.333333 , 196.333333 , 87.179487 , 7.692308 , 0.003512 , 0.003668 , 0.197958 , 100.000000 , 3099.387909 , , 1.000000 , 0.000000 , 100.000000 , 100.000000 , 0.000000 , 0.000000 , 0.000000 , 100.000000 , 670.683618 , , 1.000000 , 0.000000 , 100.000000 , 100.000000 , 0.000000 , 0.000000 , 0.000000 , 100.000000 , 685.827160
circ18gnonbal , , 0.000000 , 165.333333 , 100.000000 , 100.000000 , 0.008778 , 0.009854 , 0.256103 , -1.000000 , 3600.149132 , , 0.000000 , 163.666667 , 100.000000 , 100.000000 , 0.014530 , 0.015277 , 0.276156 , -1.000000 , 3600.146668 , , 1.000000 , 27.666667 , 23.076923 , 15.384615 , 0.000000 , 0.000000 , 0.000000 , 100.000000 , 433.438810 , , 1.000000 , 48.000000 , 23.076923 , 7.692308 , 0.000000 , 0.000000 , 0.000000 , 100.000000 , 748.616321 , , 1.000000 , 0.000000 , 100.000000 , 100.000000 , 0.000000 , 0.000000 , 0.000000 , 100.000000 , 507.990998 , , 0.000000 , 0.000000 , 100.000000 , 100.000000 , 0.000000 , 0.000000 , 0.000000 , -1.000000 , 3600.008896
circ18hbal , , 0.000000 , 196.333333 , 100.000000 , 100.000000 , 0.010816 , 0.012922 , 0.301914 , -1.000000 , 3600.251826 , , 0.000000 , 179.666667 , 100.000000 , 100.000000 , 0.016840 , 0.018161 , 0.310540 , -1.000000 , 3600.093483 , , 1.000000 , 95.666667 , 51.282051 , 15.384615 , 0.000000 , 0.000000 , 0.000000 , 100.000000 , 1385.472814 , , 0.666667 , 202.666667 , 84.615385 , 7.692308 , 0.001702 , 0.001702 , 0.101965 , 100.000000 , 2985.160182 , , 0.666667 , 0.000000 , 100.000000 , 100.000000 , 0.000000 , 0.000000 , 0.000000 , 100.000000 , 3080.601751 , , 1.000000 , 0.000000 , 100.000000 , 100.000000 , 0.000000 , 0.000000 , 0.000000 , 100.000000 , 1011.001258
circ18hnonbal , , 0.000000 , 154.333333 , 100.000000 , 100.000000 , 0.011702 , 0.012535 , 0.257518 , -1.000000 , 3600.163434 , , 0.000000 , 157.000000 , 100.000000 , 100.000000 , 0.012895 , 0.013351 , 0.271042 , -1.000000 , 3600.300547 , , 0.666667 , 176.000000 , 86.111111 , 16.666667 , 0.001127 , 0.001127 , 0.002254 , 100.000000 , 2783.329112 , , 1.000000 , 117.666667 , 48.717949 , 7.692308 , 0.000000 , 0.000000 , 0.000000 , 100.000000 , 1744.142836 , , 1.000000 , 0.000000 , 100.000000 , 100.000000 , 0.000000 , 0.000000 , 0.000000 , 100.000000 , 1968.825353 , , 1.000000 , 0.000000 , 100.000000 , 100.000000 , 0.000000 , 0.000000 , 0.000000 , 100.000000 , 1110.230235
circ18ibal , , 0.000000 , 196.000000 , 100.000000 , 100.000000 , 0.018744 , 0.020611 , 0.319830 , -1.000000 , 3600.135965 , , 0.000000 , 171.666667 , 100.000000 , 100.000000 , 0.016154 , 0.017382 , 0.313195 , -1.000000 , 3600.120754 , , 1.000000 , 61.333333 , 35.897436 , 15.384615 , 0.000000 , 0.000000 , 0.000000 , 100.000000 , 835.800446 , , 0.333333 , 196.333333 , 74.358974 , 7.692308 , 0.003128 , 0.003134 , 0.096436 , 100.000000 , 2637.586206 , , 0.000000 , 0.000000 , 100.000000 , 100.000000 , 0.000000 , 0.000000 , 0.000000 , -1.000000 , 3600.003784 , , 1.000000 , 0.000000 , 100.000000 , 100.000000 , 0.000000 , 0.000000 , 0.000000 , 100.000000 , 857.735721
circ18inonbal , , 0.000000 , 154.333333 , 100.000000 , 100.000000 , 0.013117 , 0.013786 , 0.256793 , -1.000000 , 3600.141058 , , 0.000000 , 146.333333 , 100.000000 , 100.000000 , 0.017122 , 0.019336 , 0.243582 , -1.000000 , 3600.146201 , , 1.000000 , 122.666667 , 69.230769 , 15.384615 , 0.000000 , 0.000000 , 0.000000 , 100.000000 , 2056.361719 , , 1.000000 , 81.666667 , 38.461538 , 7.692308 , 0.000000 , 0.000000 , 0.000000 , 100.000000 , 1286.789450 , , 1.000000 , 0.000000 , 100.000000 , 100.000000 , 0.000000 , 0.000000 , 0.000000 , 100.000000 , 623.412511 , , 1.000000 , 0.000000 , 100.000000 , 100.000000 , 0.000000 , 0.000000 , 0.000000 , 100.000000 , 839.926215
circ18jbal , , 0.000000 , 195.000000 , 100.000000 , 100.000000 , 0.011836 , 0.012893 , 0.295279 , -1.000000 , 3600.141170 , , 0.000000 , 192.000000 , 100.000000 , 100.000000 , 0.016649 , 0.017746 , 0.318503 , -1.000000 , 3600.129905 , , 1.000000 , 59.000000 , 35.897436 , 15.384615 , 0.000000 , 0.000000 , 0.000000 , 100.000000 , 827.810844 , , 0.666667 , 219.000000 , 76.923077 , 7.692308 , 0.001889 , 0.001951 , 0.089800 , 100.000000 , 2724.061846 , , 1.000000 , 0.000000 , 100.000000 , 100.000000 , 0.000000 , 0.000000 , 0.000000 , 100.000000 , 1016.543765 , , 1.000000 , 0.000000 , 100.000000 , 100.000000 , 0.000000 , 0.000000 , 0.000000 , 100.000000 , 864.535291
circ18jnonbal , , 0.000000 , 177.333333 , 100.000000 , 100.000000 , 0.013696 , 0.015136 , 0.262809 , -1.000000 , 3600.076008 , , 0.000000 , 173.333333 , 100.000000 , 100.000000 , 0.017835 , 0.020774 , 0.298590 , -1.000000 , 3600.091433 , , 0.666667 , 132.666667 , 61.538462 , 15.384615 , 0.001719 , 0.001719 , 0.086575 , 100.000000 , 1947.523719 , , 0.666667 , 137.666667 , 56.410256 , 7.692308 , 0.002640 , 0.002663 , 0.092538 , 100.000000 , 1992.514543 , , 1.000000 , 0.000000 , 100.000000 , 100.000000 , 0.000000 , 0.000000 , 0.000000 , 100.000000 , 1394.884176 , , 1.000000 , 0.000000 , 100.000000 , 100.000000 , 0.000000 , 0.000000 , 0.000000 , 100.000000 , 1341.033989
circ20abal , , 0.000000 , 79.333333 , 100.000000 , 100.000000 , 0.010654 , 0.011643 , 0.231129 , -1.000000 , 3600.179860 , , 0.000000 , 71.333333 , 100.000000 , 100.000000 , 0.011436 , 0.012192 , 0.218768 , -1.000000 , 3600.193173 , , 1.000000 , 63.333333 , 56.410256 , 15.384615 , 0.000000 , 0.000000 , 0.000000 , 100.000000 , 1750.556330 , , 1.000000 , 45.000000 , 41.025641 , 7.692308 , 0.000000 , 0.000000 , 0.000000 , 100.000000 , 1524.457202 , , 0.000000 , 0.000000 , 100.000000 , 100.000000 , 0.000000 , 0.000000 , 0.000000 , -1.000000 , 3600.016161 , , 1.000000 , 0.000000 , 100.000000 , 100.000000 , 0.000000 , 0.000000 , 0.000000 , 100.000000 , 1895.699041
circ20anonbal , , 0.000000 , 60.000000 , 100.000000 , 100.000000 , 0.008233 , 0.008653 , 0.170048 , -1.000000 , 3600.214124 , , 0.000000 , 59.000000 , 100.000000 , 100.000000 , 0.007067 , 0.007636 , 0.151840 , -1.000000 , 3600.225502 , , 1.000000 , 47.000000 , 56.410256 , 15.384615 , 0.000000 , 0.000000 , 0.000000 , 100.000000 , 1800.833896 , , 0.333333 , 88.666667 , 97.435897 , 7.692308 , 0.002831 , 0.002883 , 0.113571 , 100.000000 , 3605.004827 , , 0.000000 , 0.000000 , 100.000000 , 100.000000 , 0.000000 , 0.000000 , 0.000000 , -1.000000 , 3600.036971 , , 0.000000 , 0.000000 , 100.000000 , 100.000000 , 0.000000 , 0.000000 , 0.000000 , -1.000000 , 3600.081111
