instance,config,seed,status,time_kernel,total_time,iterations,buckets,last_bucket,first_bucket,value,reopt_value,real_gap,proj_gap,num_frac
ic97_potential,config1,1,FAILED TO FIND AN INTEGER FEASIBLE SOLUTION,0.000000,5.431469,2003,0,-1,-1,0.000000,0.000000,0.333333,0.333333,10
ic97_potential,config1,2,FAILED TO FIND AN INTEGER FEASIBLE SOLUTION,0.000000,5.539006,2003,0,-1,-1,0.000000,0.000000,0.066667,0.066667,1
ic97_potential,config21,1,FAILED TO FIND AN INTEGER FEASIBLE SOLUTION,0.009467,16.270298,12000,12,12,11,0.000000,0.000000,0.183333,0.183333,3
ic97_potential,config21,2,FAILED TO FIND AN INTEGER FEASIBLE SOLUTION,0.016969,17.806582,12000,12,12,11,0.000000,0.000000,0.100000,0.100000,3
ic97_potential,config19,1,FOUND INTEGER FEASIBLE,0.000000,0.023514,0,0,-1,-1,4552.000000,4372.000000,0.000000,0.000000,0
ic97_potential,config19,2,FOUND INTEGER FEASIBLE,0.000000,0.016679,0,0,-1,-1,4552.000000,4372.000000,0.000000,0.000000,0
mcsched,config1,1,FOUND INTEGER FEASIBLE,0.000000,0.414107,1,0,-1,-1,343391.000000,343391.000000,0.000000,0.000000,0
mcsched,config1,2,FOUND INTEGER FEASIBLE,0.000000,0.544245,1,0,-1,-1,473146.000000,473146.000000,0.000000,0.000000,0
mcsched,config21,1,FOUND INTEGER FEASIBLE,0.279108,0.314304,0,10,0,0,341567.000000,341567.000000,0.000000,0.000000,0
mcsched,config21,2,FOUND INTEGER FEASIBLE,0.277372,0.310408,0,10,0,0,341567.000000,341567.000000,0.000000,0.000000,0
mcsched,config19,1,FOUND INTEGER FEASIBLE,0.000000,0.036205,0,0,-1,-1,475196.000000,475196.000000,0.000000,0.000000,0
mcsched,config19,2,FOUND INTEGER FEASIBLE,0.000000,0.036932,0,0,-1,-1,475196.000000,475196.000000,0.000000,0.000000,0
