instance,config,seed,status,time_kernel,total_time,iterations,buckets,last_bucket,first_bucket,value,reopt_value,real_gap,proj_gap,num_frac
30n20b8,config1,1,FAILED TO FIND AN INTEGER FEASIBLE SOLUTION,0.000000,48.322044,12000,0,-1,-1,0.000000,0.000000,2.969149,3.169149,10
30n20b8,config1,2,FAILED TO FIND AN INTEGER FEASIBLE SOLUTION,0.000000,50.396082,12000,0,-1,-1,0.000000,0.000000,1.358491,1.358491,5
30n20b8,config1,3,FAILED TO FIND AN INTEGER FEASIBLE SOLUTION,0.000000,54.173859,12000,0,-1,-1,0.000000,0.000000,0.358491,0.358491,2
30n20b8,config3,1,FOUND INTEGER FEASIBLE,0.000000,39.336548,10460,0,-1,-1,1559.000000,1559.000000,0.000000,0.000000,0
30n20b8,config3,2,FAILED TO FIND AN INTEGER FEASIBLE SOLUTION,0.000000,47.093468,12000,0,-1,-1,0.000000,0.000000,1.927639,1.927639,6
30n20b8,config3,3,FAILED TO FIND AN INTEGER FEASIBLE SOLUTION,0.000000,48.244189,12000,0,-1,-1,0.000000,0.000000,0.400000,0.400000,3
30n20b8,config20,1,FAILED TO FIND AN INTEGER FEASIBLE SOLUTION,0.000000,211.109611,12000,0,-1,-1,0.000000,0.000000,0.606383,2.063830,6
30n20b8,config20,2,FAILED TO FIND AN INTEGER FEASIBLE SOLUTION,0.000000,220.740230,12000,0,-1,-1,0.000000,0.000000,0.140845,2.859155,2
30n20b8,config20,3,FAILED TO FIND AN INTEGER FEASIBLE SOLUTION,0.000000,244.273701,12000,0,-1,-1,0.000000,0.000000,0.858491,1.358491,5
30n20b8,config16,1,FAILED TO FIND AN INTEGER FEASIBLE SOLUTION,0.370488,48.977917,12000,11,11,1,0.000000,0.000000,0.358491,0.358491,2
30n20b8,config16,2,FAILED TO FIND AN INTEGER FEASIBLE SOLUTION,0.499854,45.589106,12000,11,11,1,0.000000,0.000000,0.358491,0.358491,2
30n20b8,config16,3,FOUND INTEGER FEASIBLE,0.493892,4.717381,850,11,10,1,4306.000000,4306.000000,0.000000,0.000000,0
30n20b8,config17,1,FOUND INTEGER FEASIBLE,0.043015,4.687573,1002,10,9,0,5530.000000,5530.000000,0.000000,0.000000,0
30n20b8,config17,2,FAILED TO FIND AN INTEGER FEASIBLE SOLUTION,0.043081,50.757528,12000,10,10,0,0.000000,0.000000,0.612012,1.527505,5
30n20b8,config17,3,FAILED TO FIND AN INTEGER FEASIBLE SOLUTION,0.043056,53.265690,12000,10,10,0,0.000000,0.000000,0.555556,2.444444,2
30n20b8,config21,1,FOUND INTEGER FEASIBLE,0.037747,4.239404,850,9,8,0,5530.000000,5530.000000,0.000000,0.000000,0
30n20b8,config21,2,FAILED TO FIND AN INTEGER FEASIBLE SOLUTION,0.037400,47.346901,12000,9,9,0,0.000000,0.000000,0.253521,1.169014,3
30n20b8,config21,3,FOUND INTEGER FEASIBLE,0.037667,1.818398,244,9,1,0,906.000000,906.000000,0.000000,0.000000,0
30n20b8,config23,1,FOUND INTEGER FEASIBLE,0.037536,41.208643,10630,9,9,0,2730.000000,2730.000000,0.000000,0.000000,0
30n20b8,config23,2,FAILED TO FIND AN INTEGER FEASIBLE SOLUTION,0.037620,43.639947,12000,9,9,0,0.000000,0.000000,0.469767,1.600000,3
30n20b8,config23,3,FOUND INTEGER FEASIBLE,0.037496,4.034101,579,9,5,0,5530.000000,5530.000000,0.000000,0.000000,0
30n20b8,config19,1,FOUND INTEGER FEASIBLE,0.000000,5.253154,0,0,-1,-1,3567.000000,3567.000000,0.000000,0.000000,0
30n20b8,config19,2,FOUND INTEGER FEASIBLE,0.000000,5.248374,0,0,-1,-1,3567.000000,3567.000000,0.000000,0.000000,0
30n20b8,config19,3,FOUND INTEGER FEASIBLE,0.000000,5.225021,0,0,-1,-1,3567.000000,3567.000000,0.000000,0.000000,0
30n20b8,config18,1,FOUND INTEGER FEASIBLE,0.000000,3.774278,0,0,-1,-1,453.000000,453.000000,0.000000,0.000000,0
30n20b8,config18,2,FOUND INTEGER FEASIBLE,0.000000,4.219272,0,0,-1,-1,453.000000,453.000000,0.000000,0.000000,0
30n20b8,config18,3,FOUND INTEGER FEASIBLE,0.000000,3.209415,0,0,-1,-1,453.000000,453.000000,0.000000,0.000000,0
50v-10,config1,1,FOUND INTEGER FEASIBLE,0.000000,0.028547,4,0,-1,-1,20171.079947,20171.079947,0.000000,0.000000,0
50v-10,config1,2,FOUND INTEGER FEASIBLE,0.000000,0.054158,4,0,-1,-1,9559.729975,9559.729975,0.000000,0.000000,0
50v-10,config1,3,FOUND INTEGER FEASIBLE,0.000000,0.041070,2,0,-1,-1,9544.509972,9544.509972,0.000000,0.000000,0
