instance,config,seed,status,time_kernel,total_time,iterations,buckets,last_bucket,first_bucket,value,reopt_value,real_gap,proj_gap,num_frac
circ18abal,config16,1,FOUND INTEGER FEASIBLE,22.527980,495.438851,36,11,2,1,1046.000000,1046.000000,0.000000,0.000000,0
circ18abal,config16,2,FOUND INTEGER FEASIBLE,23.807679,937.498154,61,11,4,1,1068.000000,1068.000000,0.000000,0.000000,0
circ18abal,config16,3,FOUND INTEGER FEASIBLE,22.725147,2766.487196,173,11,10,1,1052.000000,1052.000000,0.000000,0.000000,0
circ18abal,config16,4,FOUND INTEGER FEASIBLE,21.906066,716.594615,44,11,3,1,1102.000000,1102.000000,0.000000,0.000000,0
circ18abal,config16,5,FOUND INTEGER FEASIBLE,23.663162,1497.990326,67,11,4,1,1116.000000,1116.000000,0.000000,0.000000,0
circ18abal,config17,1,FOUND INTEGER FEASIBLE,110.652267,794.256408,60,11,2,0,1122.000000,1122.000000,0.000000,0.000000,0
circ18abal,config17,2,FOUND INTEGER FEASIBLE,120.721531,3140.248971,206,11,10,0,1102.000000,1102.000000,0.000000,0.000000,0
circ18abal,config17,3,FOUND INTEGER FEASIBLE,117.595385,801.156230,59,11,2,0,1122.000000,1122.000000,0.000000,0.000000,0
circ18abal,config17,4,FOUND INTEGER FEASIBLE,110.939342,3110.149069,219,11,10,0,1130.000000,1130.000000,0.000000,0.000000,0
circ18abal,config17,5,FAILED TO FIND AN INTEGER FEASIBLE SOLUTION,116.977382,3600,224,11,11,0,0.000000,0.000000,7.677689,7.677689,435
circ18abal,config21,1,FOUND INTEGER FEASIBLE,121.576367,1435.695549,81,11,4,0,1314.000000,1314.000000,0.000000,0.000000,0
circ18abal,config21,2,FOUND INTEGER FEASIBLE,128.787129,1771.366138,91,11,5,0,1332.000000,1332.000000,0.000000,0.000000,0
circ18abal,config21,3,FOUND INTEGER FEASIBLE,124.218182,2659.378389,131,11,8,0,1326.000000,1326.000000,0.000000,0.000000,0
circ18abal,config21,4,FAILED TO FIND AN INTEGER FEASIBLE SOLUTION,117.266073,3600,241,11,11,0,0.000000,0.000000,9.165421,9.165421,461
circ18abal,config21,5,FOUND INTEGER FEASIBLE,130.264406,536.896088,30,11,1,0,1288.000000,1288.000000,0.000000,0.000000,0
circ18abal,config23,1,FOUND INTEGER FEASIBLE,130.004137,1892.271840,117,11,6,0,1122.000000,1122.000000,0.000000,0.000000,0
circ18abal,config23,2,FOUND INTEGER FEASIBLE,129.154558,1891.099618,116,11,6,0,1122.000000,1122.000000,0.000000,0.000000,0
circ18abal,config23,3,FOUND INTEGER FEASIBLE,127.883599,1892.507170,121,11,6,0,1122.000000,1122.000000,0.000000,0.000000,0
circ18abal,config23,4,FAILED TO FIND AN INTEGER FEASIBLE SOLUTION,117.988157,3600,237,11,11,0,0.000000,0.000000,8.122361,8.122361,417
circ18abal,config23,5,FOUND INTEGER FEASIBLE,124.223132,608.433824,35,11,1,0,1132.000000,1132.000000,0.000000,0.000000,0
circ18anonbal,config16,1,FOUND INTEGER FEASIBLE,44.377996,985.498874,52,11,4,1,1102.000000,1102.000000,0.000000,0.000000,0
circ18anonbal,config16,2,FOUND INTEGER FEASIBLE,40.782053,830.542750,52,11,3,1,1102.000000,1102.000000,0.000000,0.000000,0
circ18anonbal,config16,3,FOUND INTEGER FEASIBLE,38.237754,1007.983341,58,11,4,1,1110.000000,1110.000000,0.000000,0.000000,0
circ18anonbal,config16,4,FOUND INTEGER FEASIBLE,40.213354,1331.691339,90,11,5,1,1136.000000,1136.000000,0.000000,0.000000,0
circ18anonbal,config16,5,FOUND INTEGER FEASIBLE,44.326074,1004.509128,59,11,4,1,1026.000000,1026.000000,0.000000,0.000000,0
circ18anonbal,config17,1,FOUND INTEGER FEASIBLE,136.176320,580.632468,31,11,1,0,1070.000000,1070.000000,0.000000,0.000000,0
circ18anonbal,config17,2,FOUND INTEGER FEASIBLE,120.320802,590.237819,30,11,1,0,1070.000000,1070.000000,0.000000,0.000000,0
circ18anonbal,config17,3,FOUND INTEGER FEASIBLE,119.707558,584.088023,29,11,1,0,1070.000000,1070.000000,0.000000,0.000000,0
circ18anonbal,config17,4,FOUND INTEGER FEASIBLE,126.365567,799.878614,45,11,2,0,1068.000000,1068.000000,0.000000,0.000000,0
circ18anonbal,config17,5,FOUND INTEGER FEASIBLE,125.236606,651.768896,36,11,1,0,1080.000000,1080.000000,0.000000,0.000000,0
circ18anonbal,config21,1,FOUND INTEGER FEASIBLE,171.286042,1948.777803,153,11,6,0,1132.000000,1132.000000,0.000000,0.000000,0
circ18anonbal,config21,2,FOUND INTEGER FEASIBLE,177.672711,1371.255534,123,11,4,0,1126.000000,1126.000000,0.000000,0.000000,0
circ18anonbal,config21,3,FOUND INTEGER FEASIBLE,182.628496,849.846394,81,11,2,0,1144.000000,1144.000000,0.000000,0.000000,0
circ18anonbal,config21,4,FOUND INTEGER FEASIBLE,187.494011,2591.225758,183,11,8,0,1154.000000,1154.000000,0.000000,0.000000,0
circ18anonbal,config21,5,FAILED TO FIND AN INTEGER FEASIBLE SOLUTION,183.804303,3600,247,11,11,0,0.000000,0.000000,8.711258,8.711258,433
circ18anonbal,config23,1,FAILED TO FIND AN INTEGER FEASIBLE SOLUTION,176.485042,3600,251,11,11,0,0.000000,0.000000,7.909050,7.978924,397
circ18anonbal,config23,2,FAILED TO FIND AN INTEGER FEASIBLE SOLUTION,183.520231,3600,247,11,11,0,0.000000,0.000000,7.951359,8.156510,367
circ18anonbal,config23,3,FAILED TO FIND AN INTEGER FEASIBLE SOLUTION,182.940772,3600,247,11,11,0,0.000000,0.000000,8.100681,8.295728,370
circ18anonbal,config23,4,FOUND INTEGER FEASIBLE,167.330109,886.314426,81,11,2,0,1192.000000,1192.000000,0.000000,0.000000,0
circ18anonbal,config23,5,FOUND INTEGER FEASIBLE,173.750194,856.713482,80,11,2,0,1112.000000,1112.000000,0.000000,0.000000,0
circ18bbal,config16,1,FOUND INTEGER FEASIBLE,22.811984,681.330307,47,11,3,1,1072.000000,1072.000000,0.000000,0.000000,0
circ18bbal,config16,2,FOUND INTEGER FEASIBLE,23.808295,755.170322,52,11,3,1,1098.000000,1098.000000,0.000000,0.000000,0
circ18bbal,config16,3,FOUND INTEGER FEASIBLE,26.733721,707.484056,45,11,3,1,1070.000000,1070.000000,0.000000,0.000000,0
circ18bbal,config16,4,FOUND INTEGER FEASIBLE,23.779945,411.544948,27,11,2,1,1052.000000,1052.000000,0.000000,0.000000,0
circ18bbal,config16,5,FOUND INTEGER FEASIBLE,25.933877,1279.234754,82,11,5,1,1128.000000,1128.000000,0.000000,0.000000,0
circ18bbal,config17,1,FOUND INTEGER FEASIBLE,112.708905,1049.135735,86,11,3,0,1152.000000,1152.000000,0.000000,0.000000,0
circ18bbal,config17,2,FOUND INTEGER FEASIBLE,121.281624,779.729291,59,11,2,0,1174.000000,1174.000000,0.000000,0.000000,0
circ18bbal,config17,3,FOUND INTEGER FEASIBLE,122.840471,783.562648,57,11,2,0,1174.000000,1174.000000,0.000000,0.000000,0
circ18bbal,config17,4,FOUND INTEGER FEASIBLE,116.351754,877.498079,70,11,2,0,1110.000000,1110.000000,0.000000,0.000000,0
circ18bbal,config17,5,FAILED TO FIND AN INTEGER FEASIBLE SOLUTION,116.915222,3600,243,11,11,0,0.000000,0.000000,8.285257,8.341691,433
circ18bbal,config21,1,FOUND INTEGER FEASIBLE,120.074847,521.029583,28,11,1,0,1170.000000,1170.000000,0.000000,0.000000,0
circ18bbal,config21,2,FOUND INTEGER FEASIBLE,119.029702,517.211392,27,11,1,0,1170.000000,1170.000000,0.000000,0.000000,0
circ18bbal,config21,3,FOUND INTEGER FEASIBLE,119.688263,510.331249,28,11,1,0,1170.000000,1170.000000,0.000000,0.000000,0
circ18bbal,config21,4,FOUND INTEGER FEASIBLE,118.750227,792.885985,45,11,2,0,1168.000000,1168.000000,0.000000,0.000000,0
circ18bbal,config21,5,FOUND INTEGER FEASIBLE,126.348715,2314.508070,166,11,7,0,1102.000000,1102.000000,0.000000,0.000000,0
circ18bbal,config23,1,FOUND INTEGER FEASIBLE,128.232675,2355.104134,161,11,7,0,1140.000000,1140.000000,0.000000,0.000000,0
circ18bbal,config23,2,FOUND INTEGER FEASIBLE,125.954591,2602.421780,177,11,8,0,1074.000000,1074.000000,0.000000,0.000000,0
circ18bbal,config23,3,FAILED TO FIND AN INTEGER FEASIBLE SOLUTION,123.018039,3600,201,11,10,0,0.000000,0.000000,11.237756,11.258314,468
circ18bbal,config23,4,FOUND INTEGER FEASIBLE,128.172155,2500.697263,156,11,8,0,1086.000000,1086.000000,0.000000,0.000000,0
circ18bbal,config23,5,FAILED TO FIND AN INTEGER FEASIBLE SOLUTION,127.061745,3600,207,11,10,0,0.000000,0.000000,7.755870,7.755870,438
circ18cbal,config16,1,FOUND INTEGER FEASIBLE,28.831642,1015.970622,69,11,4,1,1062.000000,1062.000000,0.000000,0.000000,0
circ18cbal,config16,2,FOUND INTEGER FEASIBLE,27.273316,1294.894494,85,11,5,1,1068.000000,1068.000000,0.000000,0.000000,0
circ18cbal,config16,3,FOUND INTEGER FEASIBLE,28.021449,991.962074,60,11,4,1,996.000000,996.000000,0.000000,0.000000,0
circ18cbal,config16,4,FAILED TO FIND AN INTEGER FEASIBLE SOLUTION,27.377448,3600,228,11,11,1,0.000000,0.000000,8.186687,8.186687,416
