instance,config,seed,status,time_kernel,total_time,iterations,buckets,last_bucket,first_bucket,value,reopt_value,real_gap,proj_gap,num_frac
circ18abal,config1,1,FAILED TO FIND AN INTEGER FEASIBLE SOLUTION,0.000000,3600,201,0,-1,-1,0.000000,0.000000,16.925454,21.584393,463
circ18abal,config1,2,FAILED TO FIND AN INTEGER FEASIBLE SOLUTION,0.000000,3600,146,0,-1,-1,0.000000,0.000000,22.365770,24.063272,450
circ18abal,config1,3,FAILED TO FIND AN INTEGER FEASIBLE SOLUTION,0.000000,3600,188,0,-1,-1,0.000000,0.000000,20.448130,23.816658,446
circ18abal,config3,1,FAILED TO FIND AN INTEGER FEASIBLE SOLUTION,0.000000,3600,191,0,-1,-1,0.000000,0.000000,24.728035,27.723654,459
circ18abal,config3,2,FAILED TO FIND AN INTEGER FEASIBLE SOLUTION,0.000000,3600,193,0,-1,-1,0.000000,0.000000,24.728035,27.723654,459
circ18abal,config3,3,FAILED TO FIND AN INTEGER FEASIBLE SOLUTION,0.000000,3600,188,0,-1,-1,0.000000,0.000000,24.728035,27.723654,459
circ18abal,config20,1,FAILED TO FIND AN INTEGER FEASIBLE SOLUTION,0.000000,3600,91,0,-1,-1,0.000000,0.000000,26.813678,29.290454,412
circ18abal,config20,2,FAILED TO FIND AN INTEGER FEASIBLE SOLUTION,0.000000,3600,88,0,-1,-1,0.000000,0.000000,26.813678,29.290454,412
circ18abal,config20,3,FAILED TO FIND AN INTEGER FEASIBLE SOLUTION,0.000000,3600,74,0,-1,-1,0.000000,0.000000,26.813678,29.290454,412
circ18abal,config16,1,FAILED TO FIND AN INTEGER FEASIBLE SOLUTION,20.255927,3600,257,12,12,1,0.000000,0.000000,7.861335,7.861335,435
circ18abal,config16,2,FOUND INTEGER FEASIBLE,20.391542,643.390231,44,12,3,1,1126.000000,1126.000000,0.000000,0.000000,0
