instance,config,seed,status,time_kernel,total_time,iterations,buckets,last_bucket,first_bucket,value,reopt_value,real_gap,proj_gap,num_frac
circ18abal,config1,1,FAILED TO FIND AN INTEGER FEASIBLE SOLUTION,0.000000,3600,201,0,-1,-1,0.000000,0.000000,16.925454,21.584393,463
circ18abal,config1,2,FAILED TO FIND AN INTEGER FEASIBLE SOLUTION,0.000000,3600,146,0,-1,-1,0.000000,0.000000,22.365770,24.063272,450
circ18abal,config1,3,FAILED TO FIND AN INTEGER FEASIBLE SOLUTION,0.000000,3600,188,0,-1,-1,0.000000,0.000000,20.448130,23.816658,446
circ18abal,config1,4,FAILED TO FIND AN INTEGER FEASIBLE SOLUTION,0.000000,3600,189,0,-1,-1,0.000000,0.000000,27.904629,30.794119,484
circ18abal,config1,5,FAILED TO FIND AN INTEGER FEASIBLE SOLUTION,0.000000,3600,190,0,-1,-1,0.000000,0.000000,25.116483,28.053811,474
circ18abal,config3,1,FAILED TO FIND AN INTEGER FEASIBLE SOLUTION,0.000000,3600,191,0,-1,-1,0.000000,0.000000,24.728035,27.723654,459
circ18abal,config3,2,FAILED TO FIND AN INTEGER FEASIBLE SOLUTION,0.000000,3600,193,0,-1,-1,0.000000,0.000000,24.728035,27.723654,459
circ18abal,config3,3,FAILED TO FIND AN INTEGER FEASIBLE SOLUTION,0.000000,3600,188,0,-1,-1,0.000000,0.000000,24.728035,27.723654,459
circ18abal,config3,4,FAILED TO FIND AN INTEGER FEASIBLE SOLUTION,0.000000,3600,193,0,-1,-1,0.000000,0.000000,22.340182,24.730195,489
circ18abal,config3,5,FAILED TO FIND AN INTEGER FEASIBLE SOLUTION,0.000000,3600,190,0,-1,-1,0.000000,0.000000,24.850852,26.498194,478
circ18abal,config20,1,FAILED TO FIND AN INTEGER FEASIBLE SOLUTION,0.000000,3600,91,0,-1,-1,0.000000,0.000000,26.813678,29.290454,412
